,Future Buy Increase,Future Sell Decrease,Quantiles,Profit/Loss,Number of Transactions,Number of Buy Signals,Number of Sell Signals,Sortino Ratio,Sharpe Ratio,Max Drawdown,Calmar Ratio
0,1.02,0.99,0.9,27042.538036891507,52492,1628,223,0.586260284657856,0.3945753636682125,0.6665337244801429,0.014019098211408417
1,1.02,0.99,0.95,27737.524010772424,52492,1653,237,0.5881168594752189,0.3950137048065856,0.6655573646922079,0.014235566114189656
2,1.02,0.99,0.98,31085.33154743044,52492,1169,253,0.5917921121081392,0.3965602948858194,0.6668350488337458,0.015103610239421042
