Predicted Train Time,Predicted Mid-Price,Buy/Sell
14:18:00,290.81303079340995,Buy
14:18:01,294.4866496791852,Hold
14:18:02,298.2795867563649,Hold
14:18:03,300.50253750607357,Hold
14:18:04,302.02109262347335,Hold
14:18:05,303.6113083652305,Hold
14:18:06,304.46489467190383,Hold
14:18:07,305.1322226668695,Hold
14:18:08,304.4049919377406,Hold
14:18:09,305.3783591433897,Hold
14:18:10,305.3930452281377,Hold
14:18:11,306.40899059778934,Hold
14:18:12,306.2859151214965,Hold
14:18:13,306.24052378544053,Hold
14:18:14,307.18934689452124,Hold
14:18:15,307.2812853001534,Hold
14:18:16,307.19039705910023,Hold
14:18:17,307.58546332260187,Hold
14:18:18,307.57057925982605,Hold
14:18:19,307.5840091495522,Hold
14:18:20,306.3081045271454,Hold
14:18:21,306.88508423879006,Hold
14:18:22,306.5982592444972,Hold
14:18:23,307.3965033782124,Hold
14:18:24,307.0377565094541,Hold
14:18:25,306.8080993079089,Hold
14:18:26,307.61752862927835,Hold
14:18:27,307.60470056498065,Hold
14:18:28,307.43487180651385,Hold
14:18:29,307.77077559240774,Hold
14:18:30,307.7118475798897,Hold
14:18:31,307.692123348059,Hold
14:18:32,306.3903812949027,Hold
14:18:33,306.9481731667913,Hold
14:18:34,306.64685662077983,Hold
14:18:35,307.4343377901615,Hold
14:18:36,307.06636732404456,Hold
14:18:37,306.82966019428426,Hold
14:18:38,307.63377226310246,Hold
14:18:39,307.61694442148473,Hold
14:18:40,307.4441038055682,Hold
14:18:41,307.7777446211576,Hold
14:18:42,307.71712093323384,Hold
14:18:43,307.69612036102126,Hold
14:18:44,306.39340383580264,Hold
14:18:45,306.9504663036434,Hold
14:18:46,306.6485999839176,Hold
14:18:47,307.4356696120945,Hold
14:18:48,307.067371841525,Hold
14:18:49,306.830416677295,Hold
14:18:50,307.63434188622153,Hold
14:18:51,307.61737343757716,Hold
14:18:52,307.4444269698897,Hold
14:18:53,307.77798817596016,Hold
14:18:54,307.7173046870293,Hold
14:18:55,307.6962591034885,Hold
14:18:56,306.39350848370856,Hold
14:18:57,306.95054535292303,Hold
14:18:58,306.64865975378297,Hold
14:18:59,307.43571490619775,Hold
14:19:00,307.06740596580556,Hold
14:19:01,306.8304423680836,Hold
14:19:02,307.63436122668514,Hold
14:19:03,307.6173879989147,Hold
14:19:04,307.44443793379116,Hold
14:19:05,307.7779964331462,Hold
14:19:06,307.7173109088062,Hold
14:19:07,307.69626379325916,Hold
14:19:08,306.39351201700873,Hold
14:19:09,306.950548016772,Hold
14:19:10,306.64866176303275,Hold
14:19:11,307.4357164233015,Hold
14:19:12,307.0674071081969,Hold
14:19:13,306.8304432280288,Hold
14:19:14,307.63436187399947,Hold
14:19:15,307.617388486197,Hold
14:19:16,307.444438300617,Hold
14:19:17,307.7779967093231,Hold
14:19:18,307.71731111678326,Hold
14:19:19,307.69626394990405,Hold
14:19:20,306.3935121349646,Hold
14:19:21,306.95054810562334,Hold
14:19:22,306.64866182997497,Hold
14:19:23,307.435716473762,Hold
14:19:24,307.067407146185,Hold
14:19:25,306.8304432566229,Hold
14:19:26,307.6343618955223,Hold
14:19:27,307.6173885023977,Hold
14:19:28,307.44443831281177,Hold
14:19:29,307.77799671850295,Hold
14:19:30,307.71731112369434,Hold
14:19:31,307.6962639551075,Hold
14:19:32,306.39351213888193,Hold
14:19:33,306.9505481085729,Hold
14:19:34,306.648661832196,Hold
14:19:35,307.4357164754349,Hold
14:19:36,307.06740714744427,Hold
14:19:37,306.8304432575708,Hold
14:19:38,307.63436189623576,Hold
14:19:39,307.6173885029347,Hold
14:19:40,307.444438313216,Hold
14:19:41,307.7779967188072,Hold
14:19:42,307.71731112392337,Hold
14:19:43,307.6962639552799,Hold
14:19:44,306.3935121390117,Hold
14:19:45,306.9505481086706,Hold
14:19:46,306.64866183226957,Hold
14:19:47,307.43571647549027,Hold
14:19:48,307.06740714748594,Hold
14:19:49,306.83044325760216,Hold
14:19:50,307.63436189625935,Hold
14:19:51,307.6173885029525,Hold
14:19:52,307.44443831322934,Hold
14:19:53,307.77799671881723,Hold
14:19:54,307.7173111239309,Hold
14:19:55,307.6962639552856,Hold
14:19:56,306.393512139016,Hold
14:19:57,306.95054810867384,Hold
14:19:58,306.648661832272,Hold
14:19:59,307.4357164754921,Hold
14:20:00,307.0674071474873,Hold
14:20:01,306.8304432576032,Hold
14:20:02,307.63436189626015,Hold
14:20:03,307.6173885029531,Hold
14:20:04,307.4444383132298,Hold
14:20:05,307.7779967188176,Hold
14:20:06,307.71731112393115,Hold
14:20:07,307.69626395528576,Hold
14:20:08,306.39351213901614,Hold
14:20:09,306.95054810867396,Hold
14:20:10,306.64866183227207,Hold
14:20:11,307.43571647549214,Hold
14:20:12,307.06740714748736,Hold
14:20:13,306.83044325760324,Hold
14:20:14,307.63436189626015,Hold
14:20:15,307.6173885029531,Hold
