Train Time,Train Bid_ask_spread,Test Time,Test Bid_ask_spread,Predicted Train Time,Predicted Bid_ask_spread
07:33:20,7.04,,,07:33:20,7.04
07:33:21,5.14,,,07:33:21,5.14
07:33:22,1.59,,,07:33:22,1.59
07:33:23,17.49,,,07:33:23,17.49
07:33:24,18.53,,,07:33:24,18.53
07:33:25,15.88,,,07:33:25,15.88
07:33:26,15.0,,,07:33:26,15.0
07:33:27,15.0,,,07:33:27,15.0
07:33:28,15.0,,,07:33:28,15.0
07:33:29,15.0,,,07:33:29,15.0
07:33:30,14.93,,,07:33:30,14.93
07:33:31,13.4,,,07:33:31,13.4
07:33:32,12.15,,,07:33:32,12.15
07:33:33,11.0,,,07:33:33,11.0
07:33:34,13.85,,,07:33:34,13.85
07:33:35,14.74,,,07:33:35,14.74
07:33:36,12.78,,,07:33:36,12.78
07:33:37,8.9,,,07:33:37,8.9
07:33:38,7.7,,,07:33:38,7.7
07:33:39,5.67,,,07:33:39,5.67
07:33:40,2.91,,,07:33:40,2.91
07:33:41,1.09,,,07:33:41,1.09
07:33:42,1.92,,,07:33:42,1.92
07:33:43,4.24,,,07:33:43,4.24
07:33:44,2.02,,,07:33:44,2.02
07:33:45,1.54,,,07:33:45,1.54
07:33:46,1.0,,,07:33:46,1.0
07:33:47,14.91,,,07:33:47,14.91
07:33:48,14.0,,,07:33:48,14.0
07:33:49,17.8,,,07:33:49,17.8
07:33:50,15.0,,,07:33:50,15.0
07:33:51,15.0,,,07:33:51,15.0
07:33:52,17.45,,,07:33:52,17.45
07:33:53,17.25,,,07:33:53,17.25
07:33:54,14.32,,,07:33:54,14.32
07:33:55,6.25,,,07:33:55,6.25
07:33:56,51.14,,,07:33:56,51.14
07:33:57,134.04,,,07:33:57,134.04
07:33:58,132.43,,,07:33:58,132.43
07:33:59,16.71,,,07:33:59,16.71
07:34:00,2.6,,,07:34:00,2.6
07:34:01,3.19,,,07:34:01,3.19
07:34:02,6.11,,,07:34:02,6.11
07:34:03,4.41,,,07:34:03,4.41
07:34:04,2.4,,,07:34:04,2.4
07:34:05,2.55,,,07:34:05,2.55
07:34:06,10.13,,,07:34:06,10.13
07:34:07,10.06,,,07:34:07,10.06
07:34:08,7.39,,,07:34:08,7.39
07:34:09,8.82,,,07:34:09,8.82
07:34:10,7.95,,,07:34:10,7.95
07:34:11,6.67,,,07:34:11,6.67
07:34:12,5.85,,,07:34:12,5.85
07:34:13,2.67,,,07:34:13,2.67
07:34:14,3.21,,,07:34:14,3.21
07:34:15,2.98,,,07:34:15,2.98
07:34:16,13.0,,,07:34:16,13.0
07:34:17,16.16,,,07:34:17,16.16
07:34:18,9.02,,,07:34:18,9.02
07:34:19,4.02,,,07:34:19,4.02
07:34:20,5.0,,,07:34:20,5.0
07:34:21,4.14,,,07:34:21,4.14
07:34:22,4.0,,,07:34:22,4.0
07:34:23,2.87,,,07:34:23,2.87
07:34:24,2.43,,,07:34:24,2.43
07:34:25,2.64,,,07:34:25,2.64
07:34:26,3.05,,,07:34:26,3.05
07:34:27,3.9,,,07:34:27,3.9
07:34:28,19.6,,,07:34:28,19.6
07:34:29,4.07,,,07:34:29,4.07
07:34:30,4.19,,,07:34:30,4.19
07:34:31,3.94,,,07:34:31,3.94
07:34:32,1.31,,,07:34:32,1.31
07:34:33,1.0,,,07:34:33,1.0
07:34:34,1.0,,,07:34:34,1.0
07:34:35,1.0,,,07:34:35,1.0
07:34:36,3.12,,,07:34:36,3.12
07:34:37,3.5,,,07:34:37,3.5
07:34:38,2.8,,,07:34:38,2.8
07:34:39,2.45,,,07:34:39,2.45
07:34:40,6.67,,,07:34:40,6.67
07:34:41,7.41,,,07:34:41,7.41
07:34:42,4.9,,,07:34:42,4.9
