,DateTime_Hour,Bid1_Price,Bid1_Volume,Ask1_Price,Ask1_Volume,Bid2_Price,Bid2_Volume,Ask2_Price,Ask2_Volume,Mid-Price,Bid_Ask_Spread,Market_Depth_Bid,Market_Depth_Ask,Historical_Volatility,Total_volume,Cumulative_Volume_Difference,Total_Volume_Change_Corrected,Order_imbalance,Trade_Price_Min,Trade_Price_Max,Trade_Volume,Trade_Price_Mean,MACD_DIF,MACD_DEA,MACD,K,D,J
29,2025-01-07 09:00:00,336.82,188410.0,343.73,121413.0,333.01,190708.0,351.89,132232.0,340.27,6.91,379118.0,253645.0,2.28,632763,125473.0,-7.5,0.14,324.0,354.0,4875.0,338.25,14.24513827297477,11.714503389120742,2.530634883854029,79.65207243108499,77.70277453818441,83.55066821688612
30,2025-01-07 10:00:00,350.35,193258.0,357.75,125199.0,346.25,192544.0,367.31,129820.0,354.05,7.4,385802.0,255019.0,2.27,640821,130783.0,-980.0,0.14,336.0,363.0,5248.0,351.9,15.683330582044107,12.508268827705416,3.1750617543386905,80.65346495405664,78.68633801014182,84.5877188418863
31,2025-01-07 11:00:00,358.48,192231.0,365.96,125860.0,354.94,203442.0,373.14,139497.0,362.22,7.48,395673.0,265357.0,2.17,661030,130316.0,-413.5,0.14,338.0,373.0,5125.0,359.74,17.256805119553803,13.457976086075096,3.7988290334787074,80.96342108048222,79.4453657002553,83.99953184093607
32,2025-01-07 12:00:00,360.23,206167.0,367.71,125167.0,356.85,218286.0,375.54,133410.0,363.97,7.47,424453.0,258577.0,2.14,683030,165876.0,-1471.5,0.18,344.0,375.0,5141.0,361.36,18.422156337038018,14.45081213626768,3.9713442007703375,81.16480324284402,80.01851154778487,83.45738663296231
33,2025-01-07 13:00:00,370.81,176113.0,378.3,119052.0,367.0,191032.0,384.21,126861.0,374.55,7.49,367145.0,245913.0,2.25,613058,121232.0,-989.0,0.14,357.0,385.0,4597.0,373.03,20.05618186256504,15.571886081527154,4.484295781037886,82.193202161896,80.74340841915524,85.09278964737749
34,2025-01-07 14:00:00,371.14,174536.0,378.72,114078.0,367.26,191568.0,386.49,119879.0,374.93,7.58,366104.0,233957.0,2.14,600061,132147.0,990.5,0.16,359.0,383.5,4758.0,373.5,21.145333691823396,16.686575603586405,4.458758088236991,82.80472736718993,81.43051473516681,85.55315263123617
35,2025-01-07 15:00:00,369.54,186344.0,376.96,126346.0,364.85,195246.0,383.48,135766.0,373.25,7.42,381590.0,262112.0,2.27,643702,119478.0,-872.0,0.12,356.0,383.0,4994.0,371.77,21.61967961284546,17.67319640543822,3.9464832074072405,81.64585991145994,81.50229646059785,81.93298681318413
36,2025-01-08 07:00:00,356.06,59868.0,363.98,44259.0,352.26,61713.0,371.29,46039.0,360.02,7.92,121581.0,90298.0,2.21,211879,31283.0,1799.0,0.1,345.0,370.0,1696.0,358.79,20.709498444269116,18.2804568132044,2.4290416310647167,74.11286494097331,79.039152620723,64.26028958147393
37,2025-01-08 08:00:00,349.35,172614.0,356.75,119808.0,346.08,172574.0,364.45,128888.0,353.05,7.4,345188.0,248696.0,2.22,593884,96492.0,432.5,0.11,330.2,366.0,4868.0,351.33,19.16528814473753,18.457423079511027,0.7078650652265033,64.34300285682373,74.14043603275658,44.74813650495804
38,2025-01-08 09:00:00,345.71,191989.0,353.36,126272.0,342.12,186922.0,363.88,134238.0,349.53,7.65,378911.0,260510.0,2.12,639421,118401.0,-845.0,0.13,333.0,356.0,5081.0,347.04,17.39480670613318,18.24489980483546,-0.8500930987022777,53.1386442403156,67.1398387686096,25.1362551837276
