Time,Bid1,Bid2,Ask1,Ask2,Mid-Price,Total_volume,Bid_ask_spread,Order_imbalance
07:30:00,"[0, 0]","[0, 0]","[0, 0]","[0, 0]",0.0,0,0.0,0.0
07:30:01,"[0, 0]","[0, 0]","[799.5, 8]","[0, 0]",399.75,8,799.5,-1.0
07:30:02,"[181.0, 6]","[0, 0]","[797.25, 16]","[0, 0]",489.12,22,616.25,-0.45
07:30:03,"[186.0, 11]","[181.0, 2]","[796.0, 4]","[0, 0]",491.0,17,610.0,0.53
07:30:04,"[186.0, 44]","[181.0, 8]","[665.29, 17]","[794.0, 13]",425.65,82,479.29,0.27
07:30:05,"[186.0, 44]","[181.0, 8]","[511.75, 16]","[697.0, 16]",348.88,84,325.75,0.24
07:30:06,"[186.0, 66]","[181.0, 12]","[598.08, 26]","[600.0, 24]",392.04,128,412.08,0.22
07:30:07,"[186.42, 38]","[185.78, 92]","[384.72, 46]","[397.98, 45]",285.57,221,198.3,0.18
07:30:08,"[187.0, 14]","[186.0, 77]","[216.5, 32]","[219.39, 33]",201.75,156,29.5,0.17
07:30:09,"[186.0, 63]","[181.96, 89]","[209.06, 32]","[211.24, 34]",197.53,218,23.06,0.39
07:30:10,"[186.0, 74]","[182.0, 153]","[204.7, 50]","[205.67, 45]",195.35,322,18.7,0.41
07:30:11,"[186.0, 79]","[182.0, 187]","[201.08, 60]","[201.67, 75]",193.54,401,15.08,0.33
07:30:12,"[186.0, 84]","[182.0, 204]","[196.2, 50]","[197.4, 68]",191.1,406,10.2,0.42
07:30:13,"[186.0, 48]","[182.0, 136]","[192.8, 50]","[194.14, 35]",189.4,269,6.8,0.37
07:30:14,"[186.0, 45]","[182.0, 153]","[189.77, 44]","[192.29, 48]",187.89,290,3.77,0.37
07:30:15,"[186.84, 61]","[184.28, 79]","[188.69, 51]","[190.14, 42]",187.76,233,1.85,0.2
07:30:16,"[186.0, 40]","[182.0, 136]","[187.5, 32]","[194.0, 16]",186.75,224,1.5,0.57
07:30:17,"[186.0, 15]","[182.0, 51]","[187.0, 12]","[194.0, 6]",186.5,84,1.0,0.57
07:30:18,"[186.0, 7]","[182.0, 119]","[193.47, 17]","[194.65, 31]",189.74,174,7.47,0.45
07:30:19,"[184.71, 14]","[182.04, 212]","[189.83, 52]","[191.92, 84]",187.27,362,5.11,0.25
07:30:20,"[182.05, 169]","[181.86, 177]","[187.25, 65]","[189.69, 117]",184.65,528,5.19,0.31
07:30:21,"[182.0, 231]","[181.0, 90]","[184.79, 71]","[185.82, 49]",183.39,441,2.79,0.46
07:30:22,"[182.0, 203]","[181.0, 102]","[183.41, 61]","[184.2, 75]",182.7,441,1.41,0.38
07:30:23,"[182.0, 114]","[181.0, 36]","[183.86, 64]","[188.73, 71]",182.93,285,1.86,0.05
07:30:24,"[182.83, 96]","[181.94, 68]","[184.0, 50]","[190.0, 60]",183.42,274,1.17,0.2
07:30:25,"[183.0, 130]","[182.0, 104]","[184.0, 65]","[190.0, 78]",183.5,377,1.0,0.24
07:30:26,"[183.0, 110]","[181.93, 85]","[184.0, 55]","[190.0, 66]",183.5,316,1.0,0.23
07:30:27,"[183.0, 90]","[182.0, 81]","[184.0, 45]","[190.0, 54]",183.5,270,1.0,0.27
07:30:28,"[183.0, 50]","[182.0, 90]","[189.62, 52]","[190.67, 36]",186.31,228,6.62,0.23
07:30:29,"[183.0, 55]","[182.0, 99]","[187.36, 44]","[189.95, 21]",185.18,219,4.36,0.41
07:30:30,"[183.98, 43]","[182.72, 97]","[186.24, 68]","[189.0, 17]",185.11,225,2.26,0.24
07:30:31,"[185.0, 32]","[183.0, 80]","[186.0, 64]","[189.0, 16]",185.5,192,1.0,0.17
07:30:32,"[183.08, 52]","[182.05, 95]","[186.0, 24]","[189.27, 11]",184.54,182,2.92,0.62
07:30:33,"[183.0, 59]","[182.0, 117]","[185.19, 32]","[187.4, 20]",184.09,228,2.19,0.54
07:30:34,"[183.0, 36]","[182.0, 108]","[184.75, 36]","[192.0, 12]",183.88,192,1.75,0.5
07:30:35,"[182.4, 45]","[181.9, 60]","[185.14, 21]","[192.67, 18]",183.77,144,2.74,0.46
07:30:36,"[182.0, 123]","[181.0, 22]","[192.0, 13]","[193.19, 27]",187.0,185,10.0,0.57
07:30:37,"[182.0, 124]","[181.0, 24]","[192.0, 36]","[194.17, 48]",187.0,232,10.0,0.28
07:30:38,"[185.2, 25]","[181.97, 74]","[191.96, 25]","[193.45, 11]",188.58,135,6.76,0.47
07:30:39,"[187.0, 18]","[182.0, 81]","[191.0, 15]","[192.0, 21]",189.0,135,4.0,0.47
07:30:40,"[185.42, 38]","[181.97, 121]","[189.67, 21]","[190.7, 23]",187.54,203,4.25,0.57
07:30:41,"[182.0, 78]","[181.0, 26]","[186.46, 13]","[188.23, 13]",184.23,130,4.46,0.6
07:30:42,"[182.0, 60]","[181.0, 20]","[186.8, 10]","[189.89, 28]",184.4,118,4.8,0.36
07:30:43,"[182.0, 60]","[181.0, 20]","[186.1, 10]","[190.0, 30]",184.05,120,4.1,0.33
07:30:44,"[182.0, 84]","[181.0, 28]","[185.0, 14]","[190.35, 46]",183.5,172,3.0,0.3
07:30:45,"[182.0, 93]","[181.0, 30]","[186.96, 27]","[190.51, 49]",184.48,199,4.96,0.24
