timestamp,price,number
10.881,267.0,1
11.067,269.0,1
11.222,267.0,2
12.338,270.0,2
13.733,267.0,3
18.321,265.0,2
19.654,263.7,3
21.886,264.0,1
22.258,264.0,4
22.382,263.0,1
22.506,263.0,2
24.087,268.0,1
24.242,267.0,2
26.04,262.0,3
27.745,270.0,1
36.456,263.0,1
37.572,260.5,5
38.285,260.0,1
38.781,259.0,4
41.974,259.0,2
42.129,259.0,2
44.237,257.0,1
46.035,253.5,4
46.686,256.5,2
47.585,257.5,3
48.794,258.0,2
50.034,266.0,1
51.584,264.0,2
52.545,263.5,3
54.281,263.0,2
57.567,263.0,1
58.249,261.0,3
60.388,259.0,1
60.977,259.0,2
62.899,259.0,5
63.705,259.0,1
64.263,259.0,2
64.976,259.0,2
65.1,260.0,1
68.572,263.0,1
72.044,256.0,1
75.051,255.7,7
77.717,262.5,4
78.306,265.0,4
78.709,259.0,2
83.886,267.0,5
83.979,267.0,3
87.11,264.0,5
87.668,262.0,1
88.133,260.0,4
90.52,255.0,3
91.822,257.5,2
93.93,264.0,2
95.232,263.0,4
95.418,264.0,1
96.379,266.0,5
96.472,264.5,3
97.557,263.0,1
97.96,261.0,1
98.952,263.0,1
101.463,256.5,5
102.827,255.0,2
105.493,255.0,1
106.981,256.0,1
108.345,255.0,1
108.872,257.0,2
112.344,257.5,4
112.902,258.0,3
113.956,258.5,3
114.049,259.0,2
114.855,263.0,3
116.002,265.0,1
116.188,265.0,2
116.622,265.0,2
121.179,261.0,5
126.79,266.0,4
131.285,268.5,3
132.68,268.0,1
133.734,267.0,3
136.059,267.0,1
136.462,266.0,5
136.555,266.0,5
139.128,266.0,2
144.212,263.0,1
144.956,264.0,1
146.661,265.0,4
149.606,263.0,1
151.59,262.0,4
152.241,268.0,2
154.938,259.7,5
155.837,259.0,1
157.387,258.5,2
159.526,263.0,2
159.619,256.7,4
160.735,263.0,2
161.51,262.0,3
162.254,265.0,3
166.594,263.0,1
167.741,263.0,4
169.942,262.0,2
173.259,265.0,3
173.817,265.0,5
174.406,266.0,5
175.119,267.0,1
175.46,266.0,1
176.886,266.0,3
181.257,269.0,2
182.993,267.5,4
185.907,266.0,2
186.279,266.0,2
186.465,262.0,4
187.178,268.0,1
190.495,263.0,1
193.316,262.0,3
195.734,261.0,3
197.036,259.0,2
197.16,259.0,4
197.346,259.0,1
197.842,261.0,4
198.648,261.0,2
198.927,261.0,1
201.438,263.0,2
203.143,260.0,1
203.825,259.0,3
204.042,261.0,2
213.528,267.5,4
215.698,267.0,1
215.915,267.0,3
218.984,264.7,3
219.418,261.0,5
220.472,261.0,1
