Trade_time,Weighted_Avg_Price,Trade_Volume
07:30:07,165.56,9
07:30:11,164.75,4
07:30:12,166.71,7
07:30:19,176.2,5
07:30:20,173.0,3
07:30:24,173.0,1
07:30:25,173.0,1
07:30:28,171.8,5
07:30:31,175.4,5
07:30:32,178.0,4
07:30:33,174.0,1
07:30:35,176.0,2
07:30:39,173.5,8
07:30:41,172.0,1
07:30:42,172.0,4
07:30:44,174.0,1
07:30:45,176.67,3
07:30:50,173.0,1
07:30:51,172.0,2
07:30:52,171.71,7
07:30:55,175.0,6
07:30:56,172.5,2
07:31:02,170.0,6
07:31:03,175.0,2
07:31:04,176.0,3
07:31:05,175.0,4
07:31:06,174.0,9
07:31:08,173.0,3
07:31:09,173.0,1
07:31:10,171.0,3
07:31:12,170.0,2
07:31:13,171.0,1
07:31:15,175.0,1
07:31:16,178.0,3
07:31:18,178.0,5
07:31:19,178.0,1
07:31:21,178.0,2
07:31:23,174.0,3
07:31:24,172.0,6
07:31:27,174.0,1
07:31:32,177.0,1
07:31:33,174.0,2
07:31:34,174.0,2
07:31:36,173.0,2
07:31:37,173.0,2
07:31:39,171.0,1
07:31:40,171.0,4
07:31:41,172.0,4
07:31:44,172.0,4
07:31:46,170.8,5
07:31:47,170.0,1
07:31:48,171.0,2
07:31:49,170.0,6
07:31:52,176.0,4
07:31:54,172.0,2
07:31:58,173.0,4
07:32:04,172.0,3
07:32:05,172.0,1
07:32:08,173.33,3
07:32:12,173.4,5
07:32:14,173.6,5
07:32:16,172.0,2
07:32:20,172.0,2
07:32:23,172.0,4
07:32:24,171.83,6
07:32:25,171.0,1
07:32:26,172.0,2
07:32:27,173.0,2
07:32:28,172.0,2
07:32:32,173.4,5
07:32:33,176.5,2
07:32:36,170.0,3
07:32:37,170.0,2
07:32:40,173.0,5
07:32:41,173.0,3
07:32:46,173.0,4
07:32:47,173.0,5
07:32:48,172.0,1
07:32:49,172.0,2
07:32:50,172.0,2
07:32:55,174.0,2
07:32:56,174.0,3
07:32:57,175.0,1
07:32:59,173.5,2
07:33:02,172.0,7
07:33:03,172.0,4
07:33:10,171.0,2
07:33:12,173.5,4
07:33:13,171.8,5
07:33:14,170.2,5
07:33:15,173.0,1
07:33:18,174.67,3
07:33:19,178.0,1
07:33:20,178.0,1
07:33:21,178.0,1
07:33:23,176.0,4
07:33:25,176.0,3
07:33:28,176.0,2
07:33:30,176.0,3
07:33:31,177.0,2
07:33:32,176.0,3
07:33:33,173.0,4
07:33:34,172.0,1
07:33:36,172.0,2
07:33:38,172.0,3
07:33:39,172.2,5
07:33:41,171.5,2
07:33:45,178.0,4
07:33:47,178.0,3
07:33:50,178.0,1
07:33:54,178.0,6
07:33:56,178.0,2
07:33:57,174.0,5
07:34:00,175.0,3
07:34:01,176.0,1
07:34:03,174.0,3
07:34:04,174.0,3
07:34:05,174.0,2
07:34:10,174.0,2
07:34:11,172.0,4
07:34:15,172.8,5
07:34:16,178.0,1
07:34:20,177.0,4
07:34:21,170.0,1
07:34:24,174.0,3
07:34:26,170.0,11
07:34:27,169.0,1
07:34:29,168.0,3
07:34:30,168.0,1
07:34:32,170.6,5
