Trade_time,Weighted_Avg_Price,Trade_Volume
07:30:04,101.0,2
07:30:07,109.0,1
07:30:10,118.0,3
07:30:17,115.5,2
07:30:19,113.0,3
07:30:20,113.0,4
07:30:22,113.0,1
07:30:24,117.0,2
07:30:26,115.0,2
07:30:27,115.0,2
07:30:29,115.0,3
07:30:30,116.0,3
07:30:31,116.0,4
07:30:32,114.75,4
07:30:36,117.0,1
07:30:40,113.0,1
07:30:41,117.31,16
07:30:43,120.0,1
07:30:44,120.0,1
07:30:46,115.0,2
07:30:47,114.86,7
07:30:50,118.0,5
07:30:52,114.0,4
07:30:56,114.67,3
07:30:58,117.0,1
07:31:00,113.0,3
07:31:01,112.0,2
07:31:02,111.67,6
07:31:07,111.0,2
07:31:09,111.0,2
07:31:10,114.0,1
07:31:11,112.5,4
07:31:13,109.89,9
07:31:15,114.43,7
07:31:16,115.0,2
07:31:19,120.0,2
07:31:21,116.0,1
07:31:24,117.0,3
07:31:25,113.0,1
07:31:26,114.0,1
07:31:27,114.0,3
07:31:28,117.0,1
07:31:29,117.0,3
07:31:31,115.25,4
07:31:34,118.0,3
07:31:37,118.0,4
07:31:38,115.0,7
07:31:39,115.0,1
07:31:40,113.86,7
07:31:45,117.0,3
07:31:46,115.5,2
07:31:47,115.0,2
07:31:48,115.0,1
07:31:50,116.0,7
07:31:52,116.0,1
07:31:54,117.0,2
07:31:58,118.0,2
07:32:00,118.0,5
07:32:01,118.0,3
07:32:02,120.0,3
07:32:05,120.0,3
07:32:07,116.25,4
07:32:08,115.0,1
07:32:09,115.0,6
07:32:10,113.0,1
07:32:11,113.0,2
07:32:13,116.5,4
07:32:15,114.0,1
07:32:17,117.0,8
07:32:18,118.0,8
07:32:20,120.0,2
07:32:25,118.0,2
07:32:28,117.6,5
07:32:30,116.0,4
07:32:31,115.0,1
07:32:32,113.0,1
07:32:33,117.0,1
07:32:36,113.0,4
07:32:37,113.86,7
07:32:40,117.0,3
07:32:41,116.62,8
07:32:45,117.43,7
07:32:46,120.0,3
07:32:47,118.0,1
07:32:51,118.0,2
07:32:57,118.0,1
07:32:58,115.6,5
07:32:59,115.0,6
07:33:00,115.0,1
07:33:01,116.0,1
07:33:02,113.6,5
07:33:05,113.0,1
07:33:06,113.0,2
07:33:08,114.0,1
07:33:09,114.0,1
07:33:10,116.2,10
07:33:12,117.0,3
07:33:14,116.0,4
07:33:15,116.0,4
07:33:18,118.8,5
07:33:21,115.33,3
07:33:22,115.0,1
07:33:23,115.0,3
07:33:24,115.0,3
07:33:28,115.0,2
