Trade_time,Weighted_Avg_Price,Trade_Volume
07:30:12,289.38,8
07:30:16,290.0,5
07:30:17,293.42,12
07:30:20,297.0,3
07:30:23,306.0,1
07:30:27,304.0,4
07:30:31,303.0,4
07:30:36,301.0,3
07:30:37,301.0,4
07:30:38,301.0,2
07:30:39,299.0,3
07:30:40,300.0,3
07:30:44,303.0,5
07:30:45,300.33,3
07:30:46,300.0,6
07:30:49,299.0,6
07:30:50,300.0,1
07:30:57,303.0,1
07:31:00,304.0,3
07:31:01,303.62,8
07:31:03,301.6,5
07:31:04,300.0,1
07:31:08,300.0,2
07:31:11,301.0,1
07:31:13,300.5,4
07:31:17,300.5,4
07:31:19,301.0,3
07:31:20,298.8,5
07:31:21,301.0,4
07:31:23,298.67,3
07:31:25,297.0,2
07:31:26,296.0,5
07:31:29,304.0,2
07:31:31,304.0,4
07:31:32,298.0,2
07:31:36,295.0,1
07:31:41,301.0,5
07:31:43,300.0,2
07:31:45,300.0,2
07:31:46,300.0,1
07:31:51,306.0,2
07:31:53,304.0,4
07:31:55,303.0,1
07:31:56,299.25,4
07:31:59,300.25,4
07:32:00,300.0,6
07:32:01,299.5,6
07:32:07,293.33,3
07:32:08,294.0,2
07:32:09,293.0,8
07:32:12,294.5,4
07:32:16,298.0,4
07:32:17,294.0,4
07:32:18,298.0,1
07:32:19,304.0,3
07:32:21,303.0,3
07:32:22,301.0,8
07:32:23,302.0,1
07:32:25,301.0,2
07:32:26,297.5,4
07:32:28,297.0,1
07:32:29,297.0,2
07:32:31,297.0,1
07:32:32,293.0,2
07:32:33,295.5,2
07:32:35,297.0,2
07:32:38,301.5,2
07:32:40,303.0,3
07:32:41,301.0,5
07:32:42,290.0,1
07:32:44,301.0,2
07:32:48,304.0,1
07:32:51,302.0,2
07:32:52,300.0,5
07:32:53,296.33,3
07:32:55,299.0,1
07:32:58,294.0,5
07:32:59,298.0,5
07:33:01,297.67,3
07:33:05,297.0,2
07:33:10,304.0,1
07:33:12,306.0,4
07:33:13,302.17,6
07:33:14,300.0,1
07:33:15,300.0,2
07:33:16,299.6,5
07:33:20,295.0,5
07:33:21,294.0,3
07:33:22,298.5,4
07:33:26,294.0,4
07:33:27,294.0,2
07:33:29,295.0,1
07:33:30,288.0,2
07:33:32,288.0,3
07:33:36,290.0,2
07:33:40,290.6,5
07:33:41,292.0,1
07:33:43,295.0,2
07:33:44,294.67,3
07:33:46,295.6,5
07:33:48,296.67,3
07:33:49,292.0,2
07:33:51,290.67,6
07:33:52,299.0,1
07:33:55,292.83,6
07:33:56,296.0,2
07:33:57,297.0,3
07:33:58,298.0,2
07:33:59,298.0,1
07:34:01,302.0,4
07:34:02,302.89,9
07:34:03,299.0,2
07:34:06,295.0,1
07:34:08,297.0,1
07:34:13,296.0,6
07:34:16,297.75,4
07:34:17,298.0,6
07:34:18,300.0,3
07:34:22,292.0,2
07:34:23,292.0,3
07:34:26,298.0,2
07:34:28,295.33,3
07:34:31,292.0,3
07:34:35,294.0,2
07:34:40,293.0,1
07:34:47,291.0,1
07:34:48,294.0,4
07:34:50,294.2,5
07:34:55,295.0,4
07:34:57,297.0,2
07:34:59,297.0,2
07:35:00,299.0,3
07:35:01,297.0,3
07:35:02,294.33,3
07:35:11,298.0,1
07:35:14,296.0,3
07:35:17,295.0,5
07:35:20,296.0,2
07:35:21,297.68,19
07:35:22,294.0,3
07:35:23,295.67,3
07:35:24,292.0,3
07:35:25,294.0,2
07:35:26,294.0,1
07:35:29,294.5,4
07:35:32,295.0,4
07:35:33,295.0,2
07:35:36,297.0,3
07:35:39,293.0,3
07:35:40,293.0,1
07:35:49,294.0,1
07:35:51,294.0,7
07:35:52,294.0,1
07:35:54,293.0,7
07:35:56,294.67,6
07:35:59,290.0,3
07:36:00,297.33,12
07:36:02,293.0,4
07:36:06,299.86,7
07:36:09,299.0,4
07:36:10,299.0,3
07:36:12,304.0,5
07:36:13,304.0,1
07:36:14,297.0,1
07:36:16,294.67,6
07:36:17,306.0,4
07:36:18,309.0,2
07:36:21,308.67,3
07:36:25,308.0,2
07:36:27,308.0,5
07:36:28,308.0,4
07:36:30,307.25,4
07:36:35,303.0,4
07:36:37,303.0,3
07:36:39,305.25,4
07:36:41,305.0,6
07:36:43,307.0,7
07:36:47,306.33,3
07:36:53,308.0,3
07:36:55,308.4,10
07:36:56,306.67,3
07:36:57,303.67,6
07:37:03,304.0,3
07:37:06,309.0,2
07:37:07,304.0,1
07:37:08,303.5,4
07:37:09,304.0,5
