Trade_time,Weighted_Avg_Price,Trade_Volume
07:30:07,220.0,3
07:30:08,220.0,2
07:30:11,222.0,3
07:30:13,222.0,2
07:30:14,223.0,1
07:30:17,227.5,6
07:30:18,223.0,1
07:30:21,223.8,5
07:30:23,223.0,3
07:30:24,228.57,7
07:30:29,229.0,3
07:30:30,229.0,1
07:30:31,229.0,4
07:30:33,228.25,4
07:30:34,234.0,1
07:30:35,234.0,3
07:30:36,236.0,1
07:30:37,235.0,1
07:30:38,235.0,9
07:30:39,231.57,7
07:30:40,234.0,2
07:30:41,233.0,3
07:30:42,234.0,3
07:30:43,235.0,3
07:30:45,234.67,6
07:30:46,233.0,5
07:30:49,233.0,2
07:30:50,231.8,5
07:30:54,233.5,4
07:30:57,233.6,5
07:30:59,233.5,2
07:31:00,229.5,4
07:31:02,231.0,3
07:31:03,228.6,5
07:31:06,231.0,1
07:31:08,233.0,2
07:31:11,229.0,1
07:31:13,232.0,1
07:31:17,234.0,2
07:31:18,239.0,2
07:31:20,234.0,1
07:31:21,232.0,3
07:31:22,231.0,1
07:31:24,231.0,3
07:31:25,229.0,1
07:31:27,227.0,5
07:31:28,227.0,1
07:31:30,229.0,4
07:31:31,228.5,4
07:31:32,224.0,2
07:31:33,232.0,4
07:31:36,228.0,1
07:31:37,232.5,2
07:31:41,235.29,7
07:31:42,239.0,2
07:31:43,239.0,4
07:31:45,239.0,2
07:31:47,236.33,6
07:31:48,236.0,8
07:31:49,231.0,7
07:31:50,225.8,10
07:31:55,237.0,4
07:32:00,238.0,1
07:32:05,238.0,2
07:32:07,237.75,4
07:32:10,233.78,9
07:32:12,232.0,1
07:32:14,232.0,2
07:32:18,233.83,6
07:32:21,235.0,2
07:32:22,237.67,3
07:32:24,237.0,1
07:32:28,239.0,5
07:32:29,237.0,1
07:32:32,237.0,1
07:32:34,237.0,4
07:32:35,236.8,5
07:32:37,234.6,5
07:32:43,233.0,3
07:32:45,230.75,4
07:32:46,233.25,4
07:32:47,230.2,5
07:32:49,231.0,1
07:32:50,229.0,4
07:32:55,228.0,1
07:32:57,229.0,2
07:32:58,232.0,1
07:33:00,233.0,6
07:33:01,234.0,4
07:33:02,232.0,2
07:33:09,237.0,6
07:33:14,233.33,3
07:33:15,234.0,1
07:33:16,237.0,3
07:33:19,235.0,2
07:33:20,231.57,7
07:33:21,231.0,4
07:33:23,231.0,1
07:33:26,239.0,2
07:33:27,238.0,1
07:33:28,233.0,3
07:33:30,233.0,4
07:33:31,231.75,4
07:33:32,232.0,3
07:33:34,229.8,5
07:33:36,229.0,1
07:33:37,234.4,5
07:33:39,234.0,2
07:33:41,235.0,5
07:33:43,236.0,3
07:33:50,239.0,2
07:33:51,234.0,6
07:33:54,232.2,5
07:33:56,234.0,7
07:33:59,236.67,3
07:34:00,233.0,1
07:34:01,234.0,5
07:34:05,239.0,1
07:34:06,238.0,1
07:34:09,232.0,4
07:34:13,236.0,2
07:34:14,233.0,3
07:34:15,230.5,4
07:34:17,234.0,3
07:34:18,231.0,2
07:34:19,231.0,4
07:34:20,230.0,1
07:34:21,228.67,3
07:34:22,225.0,4
07:34:24,227.0,2
07:34:25,225.5,2
07:34:27,231.38,8
07:34:31,230.0,3
07:34:33,233.0,3
07:34:34,233.0,1
07:34:35,234.75,4
07:34:36,227.5,8
07:34:37,237.0,1
07:34:38,240.0,2
07:34:41,240.0,3
07:34:42,240.0,1
07:34:43,240.0,1
07:34:47,240.0,1
07:34:48,235.8,5
07:34:50,233.5,4
07:34:52,233.0,4
07:34:57,239.0,3
07:34:58,238.0,3
07:34:59,238.0,2
07:35:01,238.5,2
07:35:02,237.0,2
07:35:03,237.0,3
07:35:05,238.0,3
07:35:06,235.5,12
07:35:07,238.0,2
07:35:12,235.0,2
07:35:14,232.0,2
07:35:17,234.0,5
07:35:18,236.0,2
07:35:19,233.0,4
07:35:22,233.67,6
07:35:23,233.0,2
07:35:25,232.0,3
07:35:26,233.0,1
07:35:28,231.09,11
07:35:29,232.0,1
07:35:30,232.0,3
07:35:32,234.0,5
07:35:40,238.0,4
07:35:41,237.0,4
07:35:44,237.0,1
07:35:45,237.5,4
07:35:47,237.0,2
07:35:48,236.0,1
07:35:53,235.0,4
07:35:54,234.0,3
07:35:56,232.0,2
07:35:57,231.0,1
07:35:59,232.0,2
07:36:00,232.0,2
07:36:01,235.14,7
07:36:03,239.0,1
07:36:05,236.0,4
07:36:08,234.5,2
07:36:09,227.0,2
07:36:11,229.0,1
07:36:13,227.0,1
07:36:14,227.0,1
07:36:16,226.0,1
07:36:17,227.0,3
07:36:19,228.0,4
07:36:23,232.0,1
07:36:24,231.0,4
07:36:27,233.0,1
07:36:28,229.4,5
07:36:35,230.0,2
07:36:37,235.0,4
07:36:38,232.67,9
07:36:40,235.5,4
07:36:41,231.0,3
07:36:42,234.0,1
07:36:45,233.0,1
07:36:46,231.43,7
07:36:48,232.0,1
07:36:52,239.0,4
07:36:54,236.67,6
07:37:01,232.5,4
07:37:06,238.33,9
07:37:09,235.0,2
07:37:11,234.75,4
07:37:12,234.0,1
07:37:14,232.4,5
07:37:16,234.0,1
07:37:19,235.0,2
07:37:21,235.0,7
07:37:25,235.0,4
07:37:26,235.0,4
07:37:31,237.0,2
07:37:34,238.0,2
07:37:35,237.0,4
07:37:36,235.3,10
07:37:37,232.67,3
07:37:40,231.0,3
07:37:41,232.0,2
07:37:42,235.0,1
07:37:44,235.0,3
07:37:46,235.86,7
07:37:47,231.11,9
07:37:48,233.0,1
07:37:49,227.0,2
07:37:51,230.0,1
07:37:55,229.0,2
07:38:00,232.75,4
07:38:02,228.0,2
07:38:04,233.0,1
07:38:06,233.29,7
07:38:08,232.67,3
07:38:10,237.0,2
07:38:11,235.0,1
07:38:12,233.83,6
07:38:13,233.0,1
07:38:15,232.25,4
07:38:18,238.5,2
07:38:20,232.0,1
07:38:21,230.0,2
07:38:25,234.0,3
07:38:27,234.0,1
07:38:29,233.0,1
07:38:31,239.0,1
07:38:32,237.0,3
07:38:34,239.0,3
07:38:37,239.0,2
07:38:39,237.0,1
