Trade_time,Weighted_Avg_Price,Trade_Volume
07:30:04,174.0,4
07:30:06,174.0,1
07:30:09,175.5,4
07:30:14,168.0,1
07:30:15,166.75,4
07:30:16,169.17,6
07:30:18,170.0,3
07:30:19,172.0,1
07:30:20,172.0,3
07:30:22,175.0,1
07:30:23,176.0,1
07:30:28,173.0,5
07:30:29,173.0,3
07:30:30,176.0,1
07:30:32,174.0,6
07:30:33,174.0,2
07:30:34,176.0,3
07:30:36,172.4,5
07:30:41,175.0,4
07:30:42,175.0,2
07:30:43,170.5,4
07:30:46,174.2,5
07:30:48,180.5,2
07:30:49,177.5,2
07:30:53,173.0,2
07:30:54,173.0,3
07:30:56,173.33,6
07:30:57,172.0,1
07:30:58,173.0,5
07:31:01,175.0,1
07:31:04,178.0,5
07:31:06,179.0,3
07:31:09,180.0,1
07:31:10,179.8,5
07:31:11,181.0,3
07:31:12,175.0,5
07:31:13,180.0,2
07:31:17,181.0,5
07:31:19,174.25,4
07:31:22,176.0,4
07:31:23,177.12,8
07:31:28,172.25,4
07:31:30,172.0,2
07:31:31,179.0,2
07:31:33,176.0,2
07:31:34,176.0,2
07:31:37,178.0,3
07:31:38,176.5,4
07:31:41,175.0,4
07:31:46,178.0,3
07:31:47,178.0,1
07:31:48,176.0,2
07:31:51,177.5,2
07:31:53,178.0,1
07:31:56,175.5,4
07:31:57,173.33,3
07:31:58,175.0,1
07:32:00,172.0,1
07:32:01,172.0,2
07:32:02,169.43,7
07:32:04,169.0,3
07:32:05,172.0,1
07:32:10,168.0,2
07:32:14,168.0,3
07:32:16,167.5,2
07:32:17,167.33,3
07:32:18,166.5,4
07:32:20,169.0,1
07:32:23,170.75,4
07:32:27,166.0,1
07:32:28,171.0,3
07:32:29,171.5,6
07:32:30,173.0,6
07:32:34,170.0,3
07:32:35,169.0,1
07:32:37,170.62,8
07:32:38,171.0,2
07:32:41,171.86,7
07:32:43,169.0,1
07:32:45,168.0,5
07:32:46,170.5,4
07:32:52,182.0,5
07:32:59,182.0,4
07:33:00,182.0,5
07:33:01,179.86,7
07:33:05,179.67,3
07:33:06,179.0,7
07:33:08,179.0,1
07:33:09,178.0,1
07:33:10,180.0,4
07:33:11,177.0,2
07:33:12,177.0,5
07:33:15,177.0,4
07:33:16,177.0,4
07:33:17,177.0,1
07:33:18,175.0,3
07:33:20,175.14,7
07:33:25,175.0,2
07:33:26,175.0,4
07:33:27,174.0,2
07:33:28,172.0,2
07:33:29,174.0,1
07:33:30,172.0,1
07:33:31,172.0,1
07:33:32,177.0,1
07:33:33,174.0,2
07:33:34,172.6,5
07:33:38,175.0,1
07:33:40,177.0,2
07:33:41,177.0,1
07:33:42,177.0,2
07:33:43,175.0,2
07:33:44,177.0,2
07:33:47,178.0,6
07:33:48,179.0,2
07:33:49,180.0,1
07:33:50,180.0,2
07:33:57,180.75,4
07:33:58,180.0,1
07:34:00,179.56,9
