DateTime_Hour,Bid1_Price,Bid1_Volume,Ask1_Price,Ask1_Volume,Bid2_Price,Bid2_Volume,Ask2_Price,Ask2_Volume,Mid-Price,Bid_Ask_Spread,Market_Depth_Bid,Market_Depth_Ask,Historical_Volatility,Total_volume,Cumulative_Volume_Difference,Total_Volume_Change_Corrected,Order_imbalance,Weighted_Avg_Price,Weighted_Avg_Price,Trade_Volume,Trade_Price_Mean
2025-04-07 07:00:00,150.42,80790.0,203.9,52887.0,145.73,90708.0,265.04,54715.0,177.16,53.48,171498.0,107602.0,18.15,279100,63896.0,5.5,0.18,139.0,156.0,2837.0,150.57
2025-04-07 08:00:00,151.28,167093.0,208.54,101244.0,146.8,186560.0,269.41,104329.0,179.91,57.27,353653.0,205573.0,17.75,559226,148080.0,647.0,0.2,137.0,157.0,5767.0,151.77
2025-04-07 09:00:00,152.83,177142.0,206.67,105239.0,147.94,192222.0,269.92,106242.0,179.75,53.84,369364.0,211481.0,18.16,580845,157883.0,218.0,0.2,137.0,159.0,5904.0,153.5
2025-04-07 10:00:00,153.9,169586.0,204.19,107344.0,148.04,188924.0,270.79,109503.0,179.04,50.3,358510.0,216847.0,16.8,575357,141663.0,977.0,0.18,141.0,162.0,6160.0,154.95
2025-04-07 11:00:00,157.0,175809.0,210.1,103256.0,152.27,198541.0,274.5,104718.0,183.55,53.1,374350.0,207974.0,17.59,582324,166376.0,-15.0,0.22,143.0,163.0,6018.0,157.71
2025-04-07 12:00:00,158.15,197244.0,209.14,107444.0,153.44,212683.0,270.06,110083.0,183.64,50.99,409927.0,217527.0,16.74,627454,192400.0,-615.5,0.24,143.0,165.0,6185.0,158.87
2025-04-07 13:00:00,160.26,177877.0,211.38,106027.0,154.1,191671.0,276.31,109589.0,185.82,51.11,369548.0,215616.0,17.03,585164,153932.0,230.0,0.19,145.0,171.0,6388.0,161.38
2025-04-07 14:00:00,164.02,147377.0,212.91,92842.0,157.51,161058.0,271.63,96064.0,188.47,48.9,308435.0,188906.0,15.97,497341,119529.0,3980.0,0.17,151.0,173.0,5759.0,165.89
2025-04-07 15:00:00,163.99,170384.0,216.58,106285.0,158.57,187292.0,275.01,108601.0,190.28,52.59,357676.0,214886.0,16.55,572562,142790.0,2182.5,0.18,150.0,172.0,6103.0,165.3
