DateTime_Hour,Bid1_Price,Bid1_Volume,Ask1_Price,Ask1_Volume,Bid2_Price,Bid2_Volume,Ask2_Price,Ask2_Volume,Mid-Price,Bid_Ask_Spread,Market_Depth_Bid,Market_Depth_Ask,Historical_Volatility,Total_volume,Cumulative_Volume_Difference,Total_Volume_Change_Corrected,Order_imbalance,Weighted_Avg_Price,Weighted_Avg_Price,Trade_Volume,Trade_Price_Mean
2025-06-04 07:00:00,111.33,84611.0,164.02,53937.0,108.36,91946.0,234.62,53340.0,137.67,52.68,176557.0,107277.0,19.07,283834,69280.0,-158.0,0.17,97.0,117.0,3038.0,111.55
2025-06-04 08:00:00,111.48,155007.0,166.72,101528.0,107.77,160051.0,234.78,103300.0,139.1,55.24,315058.0,204828.0,18.63,519886,110230.0,-950.0,0.15,99.67,118.0,5957.0,111.77
2025-06-04 09:00:00,112.42,165576.0,168.25,105126.0,109.05,172400.0,233.27,106412.0,140.33,55.83,337976.0,211538.0,17.61,549514,126438.0,-686.5,0.17,98.0,118.0,5972.0,112.55
2025-06-04 10:00:00,112.59,172927.0,167.1,109463.0,109.33,168279.0,235.41,107834.0,139.85,54.51,341206.0,217297.0,17.45,558503,123909.0,-420.0,0.16,98.0,118.0,6110.0,112.75
2025-06-04 11:00:00,112.91,168802.0,168.23,105818.0,109.59,170308.0,236.33,107354.0,140.57,55.32,339110.0,213172.0,19.09,552282,125938.0,-822.0,0.16,100.0,119.0,6054.0,113.08
2025-06-04 12:00:00,112.9,167356.0,167.37,102572.0,109.42,169304.0,238.4,107308.0,140.14,54.47,336660.0,209880.0,18.85,546540,126780.0,-811.0,0.17,99.0,119.0,6074.0,113.11
2025-06-04 13:00:00,113.56,169355.0,167.69,105828.0,110.03,176551.0,235.45,106918.0,140.63,54.13,345906.0,212746.0,18.09,558652,133160.0,-1545.5,0.17,101.0,119.0,6040.0,113.84
2025-06-04 14:00:00,114.18,157851.0,166.86,96399.0,111.19,162129.0,229.23,99294.0,140.52,52.69,319980.0,195693.0,16.94,515673,124287.0,1708.0,0.17,101.0,120.0,5790.0,114.6
2025-06-04 15:00:00,114.01,152537.0,167.9,97314.0,110.85,162590.0,238.81,98603.0,140.96,53.89,315127.0,195917.0,17.73,511044,119210.0,622.0,0.17,101.75,120.0,5779.0,114.48
