DateTime_Hour,Bid1_Price,Bid1_Volume,Ask1_Price,Ask1_Volume,Bid2_Price,Bid2_Volume,Ask2_Price,Ask2_Volume,Mid-Price,Bid_Ask_Spread,Market_Depth_Bid,Market_Depth_Ask,Historical_Volatility,Total_volume,Cumulative_Volume_Difference,Total_Volume_Change_Corrected,Order_imbalance,Weighted_Avg_Price,Weighted_Avg_Price,Trade_Volume,Trade_Price_Mean
2025-05-15 07:00:00,142.87,85524.0,195.45,53378.0,137.58,96520.0,260.59,54455.0,169.16,52.57,182044.0,107833.0,18.11,289877,74211.0,790.5,0.19,130.25,149.0,3168.0,143.65
2025-05-15 08:00:00,144.46,174175.0,199.67,103446.0,139.71,192005.0,263.73,102544.0,172.07,55.21,366180.0,205990.0,17.97,572170,160190.0,-317.5,0.21,131.0,151.0,6075.0,144.99
2025-05-15 09:00:00,144.71,150253.0,200.52,91864.0,139.7,172476.0,268.21,93893.0,172.62,55.81,322729.0,185757.0,17.43,508486,136972.0,3125.5,0.2,131.0,152.0,5648.0,145.61
2025-05-15 10:00:00,144.73,177804.0,198.15,98392.0,139.86,204276.0,263.56,101034.0,171.44,53.42,382080.0,199426.0,17.5,581506,182654.0,-246.0,0.24,131.75,151.0,6029.0,145.41
2025-05-15 11:00:00,144.0,164184.0,201.46,97928.0,139.19,191906.0,268.93,98946.0,172.73,57.46,356090.0,196874.0,19.29,552964,159216.0,-1253.0,0.22,130.0,151.0,5839.0,144.58
2025-05-15 12:00:00,140.2,176875.0,193.93,103843.0,135.37,190875.0,260.51,104876.0,167.06,53.73,367750.0,208719.0,17.24,576469,159031.0,-154.0,0.2,127.0,148.0,5937.0,140.58
2025-05-15 13:00:00,138.93,186682.0,195.25,102300.0,134.78,203712.0,255.32,105056.0,167.09,56.32,390394.0,207356.0,17.75,597750,183038.0,1795.5,0.25,126.0,144.57,6233.0,139.31
2025-05-15 14:00:00,139.06,174026.0,191.4,100317.0,134.53,191724.0,253.37,101738.0,165.23,52.33,365750.0,202055.0,16.97,567805,163695.0,566.5,0.21,127.0,145.0,6001.0,139.2
2025-05-15 15:00:00,139.02,181964.0,193.66,107309.0,134.98,199047.0,262.53,106861.0,166.34,54.64,381011.0,214170.0,18.67,595181,166841.0,-461.5,0.22,128.0,145.0,6111.0,139.32
