,Future Buy Increase,Future Sell Decrease,Quantiles,Shares,Profit/Loss,Number of Transactions,Number of Buy Signals,Number of Sell Signals,Sortino Ratio,Sharpe Ratio,Max Drawdown,Calmar Ratio
49,1.02,0.97,0.7,300,-4494.170352495696,52492,1150,2,0.5881270383471491,0.3808806831350695,0.6928477586685656,-0.0056928279087258135
50,1.02,0.97,0.7,500,-4494.170352495696,52492,1150,2,0.5881270383471491,0.3808806831350695,0.6928477586685656,-0.0056928279087258135
51,1.02,0.97,0.8,100,-4342.603364194855,52492,183,3,0.5981636828943462,0.38767472674831616,0.6984062116729618,-0.005371957551251885
52,1.02,0.97,0.8,300,-4342.603364194855,52492,183,3,0.5981636828943462,0.38767472674831616,0.6984062116729618,-0.005371957551251885
53,1.02,0.97,0.8,500,-4342.603364194855,52492,183,3,0.5981636828943462,0.38767472674831616,0.6984062116729618,-0.005371957551251885
54,1.03,0.99,0.6,100,1470.597876878146,52492,499,46,0.5369532282072139,0.3804133787229636,0.6340314179289047,0.0018201122892847071
55,1.03,0.99,0.6,300,1470.597876878146,52492,499,46,0.5369532282072139,0.3804133787229636,0.6340314179289047,0.0018201122892847071
56,1.03,0.99,0.6,500,1470.597876878146,52492,499,46,0.5369532282072139,0.3804133787229636,0.6340314179289047,0.0018201122892847071
57,1.03,0.99,0.7,100,4051.0356468078044,52492,664,57,0.5470464448548602,0.3823766996612574,0.643071845733647,0.003989556675292919
58,1.03,0.99,0.7,300,3946.068677392035,52492,234,55,0.5503280508679582,0.3843035715726673,0.6453936724386599,0.0038965368822596637
59,1.03,0.99,0.7,500,3946.068677392035,52492,234,55,0.5503280508679582,0.3843035715726673,0.6453936724386599,0.0038965368822596637
60,1.03,0.99,0.8,100,7275.062612212609,52492,877,81,0.5563791297627809,0.38621316906861225,0.6553047116341777,0.006115121786361442
61,1.03,0.99,0.8,300,6655.7101530242035,52492,211,69,0.5594611564491446,0.3875943584695682,0.6615215290283736,0.005673765346247091
62,1.03,0.99,0.8,500,6655.7101530242035,52492,211,69,0.5594611564491446,0.3875943584695682,0.6615215290283736,0.005673765346247091
63,1.03,0.98,0.6,100,774.0169773762354,52492,74,14,0.5774552463473083,0.38741052393527614,0.6613765142623587,0.0010860373462017214
64,1.03,0.98,0.6,300,774.0169773762354,52492,74,14,0.5774552463473083,0.38741052393527614,0.6613765142623587,0.0010860373462017214
65,1.03,0.98,0.6,500,774.0169773762354,52492,74,14,0.5774552463473083,0.38741052393527614,0.6613765142623587,0.0010860373462017214
66,1.03,0.98,0.7,100,4662.500044746259,52492,701,17,0.5795515127161966,0.38911327182175093,0.6610091415642205,0.004332097980703449
