,0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,-0.00794051747919966
15,0.05799551439577466
16,-0.06708400355811184
17,-0.015983725501280133
18,-0.019507385937654997
19,0.05016954555786035
20,-0.0347947132197266
21,0.027200982104401472
22,0.0032724705904123574
23,-0.01480930575501338
24,-0.018837466892253962
25,0.09393998491743605
26,-0.036306368165048286
27,0.031162139820140267
28,-0.0052448640705372584
29,0.009397276461351467
30,-0.011370735624880335
31,-0.04154922772880243
32,-0.011250104718854126
33,-0.0004930514179003476
34,0.004136085806903944
35,0.006084099997339498
36,0.003117556078186201
37,-0.015726556551985738
38,0.01852667760695592
39,-0.03365278146308237
40,0.0042902831147964005
41,0.014547739389187297
42,-0.026705694969659466
43,0.06664739102903483
44,0.0003653980012601199
45,0.0005844232549268025
46,0.025991644722630713
47,-0.004910085230100725
48,-0.02803261951043201
49,0.02310231883586633
50,0.016108491584550855
51,-0.0654648999059142
52,-0.007875978050077004
53,0.01026661974614762
54,-0.006497819456371068
55,-0.01057097789228112
56,0.0125670538570406
57,-0.004744297823856325
58,0.0020211713159912215
59,0.043005975425299825
60,-0.04411536362270141
61,-0.00034355841499389417
62,0.0004964215936960059
63,-0.0033587249829487575
64,0.018267170502691776
65,-0.0059798223988943855
66,0.01570160536201537
67,0.0066305541243352195
68,0.0007030938753218585
69,0.00680412516964668
70,-0.007823283860067254
71,-0.0027763979649045867
72,-0.002672762699227116
73,-0.0041315518189002365
74,0.003961814322281265
75,0.05755466722945801
76,-0.038335056810974044
77,-0.02251228420137963
78,-0.005841948674567443
79,0.021207335136349315
80,-0.008778912817948514
81,-0.00014885150765131527
82,-0.007704212304572855
83,0.011064677619905039
84,0.0032645286381283167
85,0.025476606249189127
86,-0.02816097126671857
87,0.014061817894086115
88,-0.030770448363153013
89,0.017062773127299646
90,-0.009093467258198262
91,0.013671733869375036
92,-0.0014041612753534771
93,-0.01543048931193125
94,-0.003307348293744239
95,0.015234119888974718
96,0.006685629477461319
97,0.0055712529509153175
98,-0.0024583169929491833
99,-0.008937957845394862
100,0.049546439558542765
101,-0.05272385649727196
102,0.039830645550449795
103,-0.0022616784637782272
104,-0.028281094051343603
105,0.022328025509727123
106,-0.025643423144595112
107,-0.02122564656341097
108,0.04002974742468557
109,0.008545005272143635
110,0.007169128832756666
111,-0.008771797867120124
112,-0.009719858289541472
113,-0.002307318873076225
114,0.05561384415333914
115,-0.034322772212957986
116,0.020310112042368544
117,-0.016305833370308886
118,0.007642237527623275
119,-0.013625387841035286
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
