,Future Buy Increase,Future Sell Decrease,Bid Ask Spread Threshold,Order Imbalance Threshold,Volatility Threshold,Proximity Threshold,Profit/Loss,Number of Transactions,Sortino Ratio,Sharpe Ratio,Max Drawdown,Calmar Ratio
93,1.03,0.95,39.88200000000001,0.1,0.05,0.01,12362.60776091375,63727,0.7050413359115428,0.4531846531858897,-0.999984616517136,0.0023626933062185517
94,1.03,0.95,39.88200000000001,0.1,0.05,0.02,12362.60776091375,63727,0.7050413359115428,0.4531846531858897,-0.999984616517136,0.0023626933062185517
95,1.03,0.95,39.88200000000001,0.1,0.05,0.03,12362.60776091375,63727,0.7050413359115428,0.4531846531858897,-0.999984616517136,0.0023626933062185517
96,1.03,0.95,39.88200000000001,0.1,0.06,0.01,12362.60776091375,63727,0.7050413359115428,0.4531846531858897,-0.999984616517136,0.0023626933062185517
97,1.03,0.95,39.88200000000001,0.1,0.06,0.02,12362.60776091375,63727,0.7050413359115428,0.4531846531858897,-0.999984616517136,0.0023626933062185517
98,1.03,0.95,39.88200000000001,0.1,0.06,0.03,12362.60776091375,63727,0.7050413359115428,0.4531846531858897,-0.999984616517136,0.0023626933062185517
99,1.03,0.95,39.88200000000001,0.12,0.04,0.01,18426.428607766153,63727,0.7077725399313102,0.45495869874002187,-0.999984616517136,0.0033474753939371875
100,1.03,0.95,39.88200000000001,0.12,0.04,0.02,18426.428607766153,63727,0.7077725399313102,0.45495869874002187,-0.999984616517136,0.0033474753939371875
101,1.03,0.95,39.88200000000001,0.12,0.04,0.03,18426.428607766153,63727,0.7077725399313102,0.45495869874002187,-0.999984616517136,0.0033474753939371875
102,1.03,0.95,39.88200000000001,0.12,0.05,0.01,18426.428607766153,63727,0.7077725399313102,0.45495869874002187,-0.999984616517136,0.0033474753939371875
103,1.03,0.95,39.88200000000001,0.12,0.05,0.02,18426.428607766153,63727,0.7077725399313102,0.45495869874002187,-0.999984616517136,0.0033474753939371875
104,1.03,0.95,39.88200000000001,0.12,0.05,0.03,18426.428607766153,63727,0.7077725399313102,0.45495869874002187,-0.999984616517136,0.0033474753939371875
105,1.03,0.95,39.88200000000001,0.12,0.06,0.01,18426.428607766153,63727,0.7077725399313102,0.45495869874002187,-0.999984616517136,0.0033474753939371875
106,1.03,0.95,39.88200000000001,0.12,0.06,0.02,18426.428607766153,63727,0.7077725399313102,0.45495869874002187,-0.999984616517136,0.0033474753939371875
107,1.03,0.95,39.88200000000001,0.12,0.06,0.03,18426.428607766153,63727,0.7077725399313102,0.45495869874002187,-0.999984616517136,0.0033474753939371875
108,1.03,0.95,42.82,0.08,0.04,0.01,15637.070395611154,63727,0.7086586396079304,0.4560782913351239,-0.999984616517136,0.002912736989471318
109,1.03,0.95,42.82,0.08,0.04,0.02,15637.070395611154,63727,0.7086586396079304,0.4560782913351239,-0.999984616517136,0.002912736989471318
110,1.03,0.95,42.82,0.08,0.04,0.03,15637.070395611154,63727,0.7086586396079304,0.4560782913351239,-0.999984616517136,0.002912736989471318
111,1.03,0.95,42.82,0.08,0.05,0.01,15637.070395611154,63727,0.7086586396079304,0.4560782913351239,-0.999984616517136,0.002912736989471318
112,1.03,0.95,42.82,0.08,0.05,0.02,15637.070395611154,63727,0.7086586396079304,0.4560782913351239,-0.999984616517136,0.002912736989471318
113,1.03,0.95,42.82,0.08,0.05,0.03,15637.070395611154,63727,0.7086586396079304,0.4560782913351239,-0.999984616517136,0.002912736989471318
114,1.03,0.95,42.82,0.08,0.06,0.01,15637.070395611154,63727,0.7086586396079304,0.4560782913351239,-0.999984616517136,0.002912736989471318
115,1.03,0.95,42.82,0.08,0.06,0.02,15637.070395611154,63727,0.7086586396079304,0.4560782913351239,-0.999984616517136,0.002912736989471318
116,1.03,0.95,42.82,0.08,0.06,0.03,15637.070395611154,63727,0.7086586396079304,0.4560782913351239,-0.999984616517136,0.002912736989471318
117,1.03,0.95,42.82,0.1,0.04,0.01,41933.004963513325,63727,0.711795824822204,0.45813058892938857,-0.999984616517136,0.006092586477934505
118,1.03,0.95,42.82,0.1,0.04,0.02,41933.004963513325,63727,0.711795824822204,0.45813058892938857,-0.999984616517136,0.006092586477934505
119,1.03,0.95,42.82,0.1,0.04,0.03,41933.004963513325,63727,0.711795824822204,0.45813058892938857,-0.999984616517136,0.006092586477934505
120,1.03,0.95,42.82,0.1,0.05,0.01,41933.004963513325,63727,0.711795824822204,0.45813058892938857,-0.999984616517136,0.006092586477934505
121,1.03,0.95,42.82,0.1,0.05,0.02,41933.004963513325,63727,0.711795824822204,0.45813058892938857,-0.999984616517136,0.006092586477934505
