,Future Buy Increase,Future Sell Decrease,Bid Ask Spread Threshold,Order Imbalance Threshold,Volatility Threshold,Proximity Threshold,Profit/Loss,Number of Transactions,Sortino Ratio,Sharpe Ratio,Max Drawdown,Calmar Ratio
132,1.03,0.95,42.82,0.12,0.06,0.01,51674.48913,63727,0.706855545,0.454945845,-0.999984617,0.006938599
133,1.03,0.95,42.82,0.12,0.06,0.02,51674.48913,63727,0.706855545,0.454945845,-0.999984617,0.006938599
134,1.03,0.95,42.82,0.12,0.06,0.03,51674.48913,63727,0.706855545,0.454945845,-0.999984617,0.006938599
9,1.03,0.97,39.882,0.1,0.04,0.01,51631.68621,63727,0.692423385,0.453101155,-0.999984617,0.006935669
10,1.03,0.97,39.882,0.1,0.04,0.02,51631.68621,63727,0.692423385,0.453101155,-0.999984617,0.006935669
11,1.03,0.97,39.882,0.1,0.04,0.03,51631.68621,63727,0.692423385,0.453101155,-0.999984617,0.006935669
12,1.03,0.97,39.882,0.1,0.05,0.01,51631.68621,63727,0.692423385,0.453101155,-0.999984617,0.006935669
13,1.03,0.97,39.882,0.1,0.05,0.02,51631.68621,63727,0.692423385,0.453101155,-0.999984617,0.006935669
14,1.03,0.97,39.882,0.1,0.05,0.03,51631.68621,63727,0.692423385,0.453101155,-0.999984617,0.006935669
15,1.03,0.97,39.882,0.1,0.06,0.01,51631.68621,63727,0.692423385,0.453101155,-0.999984617,0.006935669
16,1.03,0.97,39.882,0.1,0.06,0.02,51631.68621,63727,0.692423385,0.453101155,-0.999984617,0.006935669
17,1.03,0.97,39.882,0.1,0.06,0.03,51631.68621,63727,0.692423385,0.453101155,-0.999984617,0.006935669
45,1.03,0.97,42.82,0.12,0.04,0.01,51606.4735,63727,0.68850663,0.452849465,-0.999984617,0.006933495
46,1.03,0.97,42.82,0.12,0.04,0.02,51606.4735,63727,0.68850663,0.452849465,-0.999984617,0.006933495
47,1.03,0.97,42.82,0.12,0.04,0.03,51606.4735,63727,0.68850663,0.452849465,-0.999984617,0.006933495
48,1.03,0.97,42.82,0.12,0.05,0.01,51606.4735,63727,0.68850663,0.452849465,-0.999984617,0.006933495
49,1.03,0.97,42.82,0.12,0.05,0.02,51606.4735,63727,0.68850663,0.452849465,-0.999984617,0.006933495
50,1.03,0.97,42.82,0.12,0.05,0.03,51606.4735,63727,0.68850663,0.452849465,-0.999984617,0.006933495
51,1.03,0.97,42.82,0.12,0.06,0.01,51606.4735,63727,0.68850663,0.452849465,-0.999984617,0.006933495
52,1.03,0.97,42.82,0.12,0.06,0.02,51606.4735,63727,0.68850663,0.452849465,-0.999984617,0.006933495
53,1.03,0.97,42.82,0.12,0.06,0.03,51606.4735,63727,0.68850663,0.452849465,-0.999984617,0.006933495
144,1.03,0.95,45.66,0.1,0.04,0.01,51600.1272,63727,0.70558542,0.454689759,-0.999984617,0.006932947
145,1.03,0.95,45.66,0.1,0.04,0.02,51600.1272,63727,0.70558542,0.454689759,-0.999984617,0.006932947
146,1.03,0.95,45.66,0.1,0.04,0.03,51600.1272,63727,0.70558542,0.454689759,-0.999984617,0.006932947
147,1.03,0.95,45.66,0.1,0.05,0.01,51600.1272,63727,0.70558542,0.454689759,-0.999984617,0.006932947
148,1.03,0.95,45.66,0.1,0.05,0.02,51600.1272,63727,0.70558542,0.454689759,-0.999984617,0.006932947
149,1.03,0.95,45.66,0.1,0.05,0.03,51600.1272,63727,0.70558542,0.454689759,-0.999984617,0.006932947
150,1.03,0.95,45.66,0.1,0.06,0.01,51600.1272,63727,0.70558542,0.454689759,-0.999984617,0.006932947
151,1.03,0.95,45.66,0.1,0.06,0.02,51600.1272,63727,0.70558542,0.454689759,-0.999984617,0.006932947
152,1.03,0.95,45.66,0.1,0.06,0.03,51600.1272,63727,0.70558542,0.454689759,-0.999984617,0.006932947
36,1.03,0.97,42.82,0.1,0.04,0.01,51582.62591,63727,0.689173442,0.452892454,-0.999984617,0.006931437
37,1.03,0.97,42.82,0.1,0.04,0.02,51582.62591,63727,0.689173442,0.452892454,-0.999984617,0.006931437
38,1.03,0.97,42.82,0.1,0.04,0.03,51582.62591,63727,0.689173442,0.452892454,-0.999984617,0.006931437
39,1.03,0.97,42.82,0.1,0.05,0.01,51582.62591,63727,0.689173442,0.452892454,-0.999984617,0.006931437
40,1.03,0.97,42.82,0.1,0.05,0.02,51582.62591,63727,0.689173442,0.452892454,-0.999984617,0.006931437
41,1.03,0.97,42.82,0.1,0.05,0.03,51582.62591,63727,0.689173442,0.452892454,-0.999984617,0.006931437
42,1.03,0.97,42.82,0.1,0.06,0.01,51582.62591,63727,0.689173442,0.452892454,-0.999984617,0.006931437
43,1.03,0.97,42.82,0.1,0.06,0.02,51582.62591,63727,0.689173442,0.452892454,-0.999984617,0.006931437
44,1.03,0.97,42.82,0.1,0.06,0.03,51582.62591,63727,0.689173442,0.452892454,-0.999984617,0.006931437
495,1.07,0.97,39.882,0.1,0.04,0.01,51559.41536,63727,0.645679753,0.445461662,-1.125262225,0.006157966
496,1.07,0.97,39.882,0.1,0.04,0.02,51559.41536,63727,0.645679753,0.445461662,-1.125262225,0.006157966
497,1.07,0.97,39.882,0.1,0.04,0.03,51559.41536,63727,0.645679753,0.445461662,-1.125262225,0.006157966
498,1.07,0.97,39.882,0.1,0.05,0.01,51559.41536,63727,0.645679753,0.445461662,-1.125262225,0.006157966
499,1.07,0.97,39.882,0.1,0.05,0.02,51559.41536,63727,0.645679753,0.445461662,-1.125262225,0.006157966
500,1.07,0.97,39.882,0.1,0.05,0.03,51559.41536,63727,0.645679753,0.445461662,-1.125262225,0.006157966
501,1.07,0.97,39.882,0.1,0.06,0.01,51559.41536,63727,0.645679753,0.445461662,-1.125262225,0.006157966
