DateTime_Minute,Bid1_Price,Bid1_Volume,Ask1_Price,Ask1_Volume,Bid2_Price,Bid2_Volume,Ask2_Price,Ask2_Volume,Mid-Price,Bid_Ask_Spread,Market_Depth_Bid,Market_Depth_Ask,Historical_Volatility,Total_volume,Cumulative_Volume_Difference,Total_Volume_Change_Corrected,Order_imbalance,Weighted_Avg_Price,Weighted_Avg_Price,Trade_Volume,Trade_Price_Mean
2025-06-25 07:30:00,103.41,2052.0,133.28,1108.0,99.75,1593.0,196.7,1150.0,118.34,29.86,3645.0,2258.0,13.84,5903,1387.0,19.0,0.25,99.6,110.0,97.0,104.82
2025-06-25 07:31:00,107.7,2988.0,179.05,1797.0,103.35,2755.0,260.26,1714.0,143.38,71.36,5743.0,3511.0,25.6,9254,2232.0,-2.0,0.2,101.33,113.0,114.0,107.59
2025-06-25 07:32:00,109.11,4439.0,157.8,2400.0,107.07,3443.0,194.31,2364.0,133.45,48.68,7882.0,4764.0,8.94,12646,3118.0,-252.0,0.14,103.0,113.0,105.0,108.91
2025-06-25 07:33:00,107.72,3225.0,173.51,1470.0,102.62,3926.0,259.05,1702.0,140.62,65.79,7151.0,3172.0,24.95,10323,3979.0,-38.0,0.24,103.14,112.0,100.0,107.96
2025-06-25 07:34:00,104.2,1327.0,201.83,808.0,91.99,1147.0,320.26,856.0,153.01,97.64,2474.0,1664.0,34.77,4138,810.0,104.0,0.13,99.0,111.0,68.0,106.16
2025-06-25 07:35:00,109.32,4146.0,176.45,2024.0,106.52,3082.0,219.55,2248.0,142.88,67.13,7228.0,4272.0,17.18,11500,2956.0,-43.0,0.21,103.25,113.0,108.0,109.12
2025-06-25 07:36:00,108.63,3299.0,151.15,1464.0,106.31,2745.0,207.54,1672.0,129.89,42.52,6044.0,3136.0,18.8,9180,2908.0,115.0,0.26,104.0,113.0,92.0,108.49
2025-06-25 07:37:00,108.37,2552.0,133.04,1812.0,105.59,2382.0,222.28,1951.0,120.71,24.67,4934.0,3763.0,11.08,8697,1171.0,149.0,0.09,100.33,113.0,102.0,108.45
2025-06-25 07:38:00,105.77,2669.0,153.78,1746.0,99.22,2122.0,204.12,1886.0,129.77,48.02,4791.0,3632.0,22.53,8423,1159.0,-87.0,0.1,98.93,113.0,107.0,106.98
2025-06-25 07:39:00,107.01,2056.0,151.58,1673.0,102.81,2338.0,243.52,1735.0,129.29,44.57,4394.0,3408.0,22.1,7802,986.0,-258.0,0.05,101.44,113.0,125.0,108.14
