DateTime_Minute,Bid1_Price,Bid1_Volume,Ask1_Price,Ask1_Volume,Bid2_Price,Bid2_Volume,Ask2_Price,Ask2_Volume,Mid-Price,Bid_Ask_Spread,Market_Depth_Bid,Market_Depth_Ask,Historical_Volatility,Total_volume,Cumulative_Volume_Difference,Total_Volume_Change_Corrected,Order_imbalance,Weighted_Avg_Price,Weighted_Avg_Price,Trade_Volume,Trade_Price_Mean
2025-06-03 07:30:00,109.38,3064.0,122.01,1305.0,105.16,3183.0,169.37,1522.0,115.69,12.64,6247.0,2827.0,13.36,9074,3420.0,590.5,0.25,101.86,115.67,74.0,110.09
2025-06-03 07:31:00,109.54,2816.0,179.08,1903.0,103.59,4538.0,267.19,2205.0,144.31,69.54,7354.0,4108.0,20.14,11462,3246.0,-174.0,0.27,107.25,115.0,118.0,110.81
2025-06-03 07:32:00,109.6,1965.0,141.67,1892.0,106.17,3331.0,251.24,1598.0,125.64,32.08,5296.0,3490.0,20.02,8786,1806.0,-147.5,0.18,107.0,116.0,102.0,110.47
2025-06-03 07:33:00,110.77,2932.0,148.62,1523.0,105.58,2626.0,236.02,1825.0,129.7,37.85,5558.0,3348.0,22.22,8906,2210.0,24.0,0.21,107.0,117.0,114.0,111.52
2025-06-03 07:34:00,106.15,2251.0,140.17,1838.0,97.18,2717.0,203.95,2162.0,123.16,34.03,4968.0,4000.0,8.57,8968,968.0,-12.5,0.07,102.0,116.0,95.0,107.3
2025-06-03 07:35:00,108.55,2508.0,129.88,1483.0,104.01,2745.0,175.5,1485.0,119.22,21.34,5253.0,2968.0,6.56,8221,2285.0,-72.0,0.24,102.0,116.0,135.0,109.49
2025-06-03 07:36:00,107.9,2194.0,157.2,1356.0,100.03,2461.0,254.0,1432.0,132.55,49.3,4655.0,2788.0,19.27,7443,1867.0,-40.0,0.22,103.0,114.33,115.0,108.8
2025-06-03 07:37:00,107.93,1639.0,146.65,1440.0,99.85,2926.0,229.07,1631.0,127.29,38.72,4565.0,3071.0,24.67,7636,1494.0,136.5,0.16,103.75,116.0,109.0,109.49
2025-06-03 07:38:00,111.29,3667.0,152.38,2119.0,108.4,3040.0,197.18,1998.0,131.84,41.09,6707.0,4117.0,11.53,10824,2590.0,-14.0,0.18,107.0,117.0,127.0,111.46
2025-06-03 07:39:00,108.35,2274.0,141.19,1276.0,101.88,2096.0,177.4,1493.0,124.77,32.84,4370.0,2769.0,11.39,7139,1601.0,-113.0,0.16,104.0,117.0,116.0,110.19
2025-06-03 07:40:00,110.05,2436.0,206.33,1752.0,106.3,3177.0,300.55,1872.0,158.19,96.28,5613.0,3624.0,29.72,9237,1989.0,-4.5,0.16,105.0,116.0,97.0,110.8
2025-06-03 07:41:00,109.78,2518.0,177.34,1728.0,107.4,3315.0,214.9,1604.0,143.56,67.57,5833.0,3332.0,16.65,9165,2501.0,-21.5,0.15,106.0,117.0,119.0,110.21
2025-06-03 07:42:00,110.7,2944.0,199.22,1659.0,108.05,2353.0,277.21,1664.0,154.96,88.53,5297.0,3323.0,22.41,8620,1974.0,-59.5,0.18,107.0,117.0,110.0,110.79
2025-06-03 07:43:00,109.55,2647.0,153.32,1811.0,105.4,3044.0,208.92,1782.0,131.43,43.77,5691.0,3593.0,12.22,9284,2098.0,145.5,0.16,106.7,115.25,98.0,110.53
2025-06-03 07:44:00,110.94,3894.0,149.59,1834.0,107.12,3667.0,186.42,1893.0,130.26,38.65,7561.0,3727.0,9.82,11288,3834.0,43.5,0.23,106.8,116.0,102.0,111.26
2025-06-03 07:45:00,109.14,2224.0,158.31,1754.0,100.54,2667.0,205.36,1669.0,133.73,49.18,4891.0,3423.0,16.8,8314,1468.0,-157.5,0.16,107.0,116.0,102.0,109.93
2025-06-03 07:46:00,111.28,3367.0,157.72,1266.0,104.65,2104.0,213.71,1542.0,134.5,46.44,5471.0,2808.0,25.57,8279,2663.0,122.0,0.25,107.8,117.0,95.0,111.65
2025-06-03 07:47:00,110.22,2944.0,175.28,1224.0,108.46,3321.0,290.09,1378.0,142.75,65.06,6265.0,2602.0,25.49,8867,3663.0,2.0,0.36,108.0,115.5,99.0,111.04
2025-06-03 07:48:00,109.8,2468.0,147.41,1911.0,106.5,2883.0,200.54,1657.0,128.6,37.61,5351.0,3568.0,14.63,8919,1783.0,194.0,0.16,104.0,116.0,110.0,110.26
2025-06-03 07:49:00,110.87,3051.0,159.96,1930.0,107.76,3986.0,204.12,1814.0,135.41,49.09,7037.0,3744.0,17.81,10781,3293.0,53.0,0.24,107.2,116.67,111.0,110.8
2025-06-03 07:50:00,109.01,3839.0,173.39,1876.0,100.84,4126.0,257.23,1737.0,141.2,64.38,7965.0,3613.0,24.63,11578,4352.0,-36.0,0.28,102.0,117.0,108.0,110.6
2025-06-03 07:51:00,110.1,3800.0,170.51,2000.0,107.28,3434.0,273.06,2288.0,140.3,60.41,7234.0,4288.0,20.62,11522,2946.0,-73.0,0.17,102.0,117.0,109.0,110.6
2025-06-03 07:52:00,109.46,3017.0,200.47,1350.0,104.07,2482.0,252.16,1523.0,154.97,91.01,5499.0,2873.0,15.92,8372,2626.0,-33.5,0.28,104.0,115.4,75.0,110.92
2025-06-03 07:53:00,110.95,2716.0,191.64,1468.0,106.42,2169.0,292.11,1675.0,151.3,80.69,4885.0,3143.0,27.44,8028,1742.0,-165.0,0.16,107.0,115.67,107.0,111.21
2025-06-03 07:54:00,112.06,2815.0,160.69,1798.0,109.68,3380.0,234.32,1801.0,136.37,48.63,6195.0,3599.0,10.52,9794,2596.0,-216.5,0.2,109.25,117.0,110.0,112.71
2025-06-03 07:55:00,111.73,1729.0,188.63,999.0,108.28,1617.0,251.58,1072.0,150.18,76.9,3346.0,2071.0,25.72,5417,1275.0,-42.0,0.13,103.0,117.0,62.0,113.32
2025-06-03 07:56:00,110.62,3079.0,163.76,1500.0,107.72,2555.0,220.72,1570.0,137.19,53.14,5634.0,3070.0,17.51,8704,2564.0,-138.0,0.19,104.4,117.0,110.0,111.39
2025-06-03 07:57:00,110.45,2365.0,165.26,2313.0,106.38,2765.0,216.44,2217.0,137.85,54.81,5130.0,4530.0,17.6,9660,600.0,59.5,0.02,105.0,117.0,120.0,111.61
2025-06-03 07:58:00,110.05,3017.0,138.21,1736.0,101.89,2888.0,201.14,1858.0,124.13,28.16,5905.0,3594.0,6.29,9499,2311.0,-71.5,0.22,103.56,117.0,128.0,110.52
2025-06-03 07:59:00,110.79,2182.0,171.53,1769.0,106.93,1932.0,231.4,1629.0,141.16,60.74,4114.0,3398.0,18.83,7512,716.0,75.0,0.06,105.67,117.0,93.0,111.99
2025-06-03 08:00:00,112.49,3861.0,169.49,1663.0,107.8,3673.0,222.15,1690.0,140.99,57.0,7534.0,3353.0,15.9,10887,4181.0,187.0,0.31,107.83,117.0,102.0,112.47
2025-06-03 08:01:00,111.21,3230.0,162.6,1490.0,109.39,4924.0,223.55,1934.0,136.9,51.39,8154.0,3424.0,14.71,11578,4730.0,-167.5,0.39,107.0,117.0,104.0,111.08
2025-06-03 08:02:00,111.62,3119.0,178.89,1398.0,107.66,2883.0,247.25,1740.0,145.25,67.27,6002.0,3138.0,16.99,9140,2864.0,-55.5,0.24,108.0,116.0,77.0,111.73
2025-06-03 08:03:00,106.67,2529.0,157.79,1673.0,97.89,3724.0,224.38,1658.0,132.23,51.12,6253.0,3331.0,19.22,9584,2922.0,184.0,0.26,102.0,113.46,115.0,108.45
2025-06-03 08:04:00,113.16,3615.0,157.07,1978.0,111.03,4222.0,256.05,1746.0,135.11,43.91,7837.0,3724.0,15.74,11561,4113.0,15.5,0.28,108.0,117.0,92.0,112.73
2025-06-03 08:05:00,111.68,3080.0,161.29,1378.0,109.98,3066.0,251.92,1613.0,136.49,49.61,6146.0,2991.0,16.43,9137,3155.0,-127.5,0.32,108.0,116.0,95.0,111.56
2025-06-03 08:06:00,112.87,2913.0,186.2,1827.0,110.57,2987.0,271.67,1853.0,149.54,73.34,5900.0,3680.0,24.38,9580,2220.0,87.5,0.21,108.4,117.0,98.0,113.31
2025-06-03 08:07:00,110.6,3758.0,165.08,1942.0,108.25,3997.0,227.91,1950.0,137.84,54.49,7755.0,3892.0,15.8,11647,3863.0,198.0,0.26,108.0,116.0,108.0,110.63
2025-06-03 08:08:00,110.28,3180.0,182.81,1583.0,107.61,4940.0,275.95,2023.0,146.54,72.53,8120.0,3606.0,23.48,11726,4514.0,-380.5,0.32,107.0,116.0,116.0,110.41
2025-06-03 08:09:00,111.44,3518.0,195.65,1465.0,108.96,3795.0,239.78,1636.0,153.54,84.21,7313.0,3101.0,23.12,10414,4212.0,29.5,0.36,107.0,116.0,116.0,111.14
2025-06-03 08:10:00,110.58,2809.0,168.9,1429.0,107.2,3266.0,234.1,1515.0,139.74,58.33,6075.0,2944.0,13.95,9019,3131.0,-56.0,0.33,107.2,116.25,127.0,110.84
2025-06-03 08:11:00,110.55,2051.0,195.3,1620.0,106.62,2587.0,217.45,1638.0,152.92,84.75,4638.0,3258.0,15.75,7896,1380.0,132.0,0.16,107.0,117.0,91.0,110.56
2025-06-03 08:12:00,109.97,2328.0,174.28,1507.0,105.88,3286.0,219.4,1467.0,142.13,64.31,5614.0,2974.0,19.76,8588,2640.0,42.0,0.28,104.0,115.0,102.0,110.83
2025-06-03 08:13:00,112.22,2463.0,167.11,1563.0,109.46,2511.0,249.48,1730.0,139.66,54.89,4974.0,3293.0,23.19,8267,1681.0,-33.0,0.17,107.0,117.0,87.0,112.32
2025-06-03 08:14:00,111.41,2930.0,144.43,1622.0,108.25,2470.0,229.4,1771.0,127.92,33.02,5400.0,3393.0,11.3,8793,2007.0,215.0,0.15,107.0,117.0,124.0,111.2
2025-06-03 08:15:00,109.89,2495.0,182.64,1174.0,105.82,3730.0,273.79,1224.0,146.26,72.75,6225.0,2398.0,19.04,8623,3827.0,49.5,0.42,104.17,117.0,101.0,111.12
2025-06-03 08:16:00,105.47,2148.0,160.35,931.0,92.49,2657.0,235.55,1113.0,132.91,54.88,4805.0,2044.0,19.25,6849,2761.0,12.0,0.32,102.33,114.2,93.0,108.19
2025-06-03 08:17:00,108.65,2682.0,165.21,2139.0,102.7,2161.0,221.13,2274.0,136.93,56.56,4843.0,4413.0,20.17,9256,430.0,-13.5,-0.0,103.0,117.0,109.0,109.37
2025-06-03 08:18:00,108.39,1845.0,171.6,1832.0,101.3,2169.0,204.2,1483.0,140.0,63.21,4014.0,3315.0,16.94,7329,699.0,-36.0,0.06,103.67,115.4,112.0,109.97
2025-06-03 08:19:00,108.91,2190.0,173.16,1703.0,104.04,2277.0,240.85,1588.0,141.04,64.25,4467.0,3291.0,19.43,7758,1176.0,-33.5,0.08,103.4,117.0,103.0,110.66
2025-06-03 08:20:00,109.31,3251.0,182.52,2074.0,103.38,6942.0,270.24,1967.0,145.91,73.21,10193.0,4041.0,21.69,14234,6152.0,-57.0,0.34,107.0,113.0,117.0,109.19
2025-06-03 08:21:00,111.84,2524.0,172.96,1682.0,107.54,2534.0,233.77,1744.0,142.4,61.12,5058.0,3426.0,25.01,8484,1632.0,62.5,0.15,100.83,117.0,103.0,112.03
2025-06-03 08:22:00,111.58,3271.0,156.82,2054.0,109.57,3082.0,211.75,2335.0,134.2,45.24,6353.0,4389.0,11.33,10742,1964.0,-68.5,0.1,107.5,115.6,98.0,111.19
2025-06-03 08:23:00,111.61,4700.0,183.42,1877.0,109.27,5484.0,244.25,1831.0,147.52,71.81,10184.0,3708.0,16.2,13892,6476.0,-49.5,0.35,107.29,116.0,76.0,112.01
2025-06-03 08:24:00,112.58,3808.0,166.94,2302.0,109.08,4543.0,196.98,2090.0,139.76,54.36,8351.0,4392.0,18.54,12743,3959.0,-34.5,0.27,107.0,117.0,120.0,112.96
2025-06-03 08:25:00,110.58,3881.0,191.68,1632.0,107.63,3283.0,274.75,1824.0,151.13,81.09,7164.0,3456.0,25.05,10620,3708.0,-498.0,0.32,104.67,117.0,113.0,110.63
2025-06-03 08:26:00,111.6,1768.0,150.4,988.0,107.17,1953.0,230.59,1283.0,131.0,38.79,3721.0,2271.0,14.31,5992,1450.0,-18.5,0.21,103.0,117.0,92.0,112.89
2025-06-03 08:27:00,112.35,2642.0,203.96,1539.0,110.08,3387.0,269.1,1689.0,158.15,91.6,6029.0,3228.0,18.67,9257,2801.0,-35.0,0.26,103.0,116.0,102.0,112.12
2025-06-03 08:28:00,107.05,2360.0,168.88,1918.0,97.56,2967.0,224.98,1715.0,137.97,61.84,5327.0,3633.0,19.67,8960,1694.0,2.0,0.12,97.0,114.75,108.0,108.88
2025-06-03 08:29:00,109.22,3017.0,173.75,1797.0,98.29,2301.0,229.37,2057.0,141.49,64.52,5318.0,3854.0,22.34,9172,1464.0,67.0,0.12,107.0,115.0,118.0,110.21
2025-06-03 08:30:00,111.07,2994.0,163.13,1895.0,103.84,3452.0,226.11,1993.0,137.1,52.06,6446.0,3888.0,20.9,10334,2558.0,-26.0,0.22,106.0,117.0,113.0,111.5
2025-06-03 08:31:00,111.34,3630.0,188.15,2068.0,109.37,3859.0,235.52,2047.0,149.74,76.82,7489.0,4115.0,22.56,11604,3374.0,-73.0,0.27,108.0,116.0,102.0,111.45
2025-06-03 08:32:00,110.39,2306.0,164.6,1846.0,107.16,3082.0,229.07,1722.0,137.49,54.2,5388.0,3568.0,23.07,8956,1820.0,-123.5,0.11,103.0,116.5,91.0,111.01
2025-06-03 08:33:00,110.57,1778.0,147.8,965.0,106.8,2200.0,233.38,989.0,129.18,37.23,3978.0,1954.0,28.6,5932,2024.0,48.5,0.28,106.0,117.0,82.0,110.77
2025-06-03 08:34:00,112.01,8840.0,163.66,1520.0,108.18,5273.0,228.77,1616.0,137.83,51.65,14113.0,3136.0,12.35,17249,10977.0,-92.5,0.52,106.0,117.0,112.0,111.99
2025-06-03 08:35:00,111.86,2581.0,178.15,1865.0,110.23,2933.0,233.25,2024.0,145.0,66.29,5514.0,3889.0,20.99,9403,1625.0,-41.0,0.13,109.0,117.0,104.0,111.87
2025-06-03 08:36:00,111.72,3037.0,158.78,1789.0,110.23,3368.0,218.24,1707.0,135.25,47.06,6405.0,3496.0,16.02,9901,2909.0,161.5,0.26,108.0,117.0,108.0,112.14
2025-06-03 08:37:00,111.77,3287.0,165.49,1736.0,108.92,3951.0,227.51,1777.0,138.63,53.73,7238.0,3513.0,18.69,10751,3725.0,-96.0,0.3,107.0,117.0,120.0,111.82
2025-06-03 08:38:00,110.53,2572.0,172.38,2066.0,108.5,3192.0,262.01,1690.0,141.45,61.85,5764.0,3756.0,19.39,9520,2008.0,-30.0,0.17,108.0,115.0,96.0,111.14
2025-06-03 08:39:00,109.28,3199.0,158.66,1497.0,104.26,3241.0,204.83,1530.0,133.97,49.38,6440.0,3027.0,16.96,9467,3413.0,-16.0,0.3,107.0,116.0,110.0,110.35
2025-06-03 08:40:00,111.25,2884.0,152.97,2137.0,106.53,4183.0,173.04,2125.0,132.11,41.72,7067.0,4262.0,12.89,11329,2805.0,85.5,0.26,106.0,117.0,107.0,111.62
2025-06-03 08:41:00,111.18,2953.0,181.29,1829.0,108.06,2536.0,283.65,1929.0,146.23,70.1,5489.0,3758.0,23.05,9247,1731.0,-207.5,0.12,108.0,117.0,106.0,111.64
2025-06-03 08:42:00,110.76,3021.0,163.86,1982.0,107.56,4190.0,237.13,1935.0,137.31,53.1,7211.0,3917.0,16.84,11128,3294.0,-83.0,0.26,107.14,117.0,117.0,111.2
2025-06-03 08:43:00,110.33,3782.0,162.64,1871.0,105.6,3881.0,181.36,1938.0,136.49,52.31,7663.0,3809.0,16.35,11472,3854.0,-47.5,0.21,104.0,117.0,86.0,111.22
2025-06-03 08:44:00,111.72,2557.0,216.71,1340.0,107.03,3030.0,336.03,1384.0,164.21,104.99,5587.0,2724.0,30.7,8311,2863.0,25.5,0.19,105.0,117.0,97.0,111.24
2025-06-03 08:45:00,109.68,4485.0,186.72,1817.0,106.98,4076.0,259.89,1799.0,148.2,77.04,8561.0,3616.0,27.38,12177,4945.0,65.5,0.3,107.0,115.0,103.0,110.43
2025-06-03 08:46:00,111.41,1866.0,150.76,1770.0,109.32,3261.0,233.79,1859.0,131.08,39.35,5127.0,3629.0,20.39,8756,1498.0,52.0,0.12,107.0,117.0,96.0,111.37
2025-06-03 08:47:00,109.22,2465.0,183.6,1718.0,105.57,2282.0,232.21,1564.0,146.41,74.38,4747.0,3282.0,23.92,8029,1465.0,129.5,0.14,106.67,115.0,95.0,109.52
2025-06-03 08:48:00,111.31,2017.0,186.54,1319.0,107.01,2099.0,261.87,1604.0,148.92,75.23,4116.0,2923.0,19.81,7039,1193.0,-75.0,0.15,106.0,117.0,105.0,110.76
2025-06-03 08:49:00,112.7,4595.0,189.22,1684.0,109.54,3537.0,276.84,1627.0,150.96,76.51,8132.0,3311.0,21.4,11443,4821.0,-219.0,0.35,105.5,117.0,69.0,113.21
2025-06-03 08:50:00,113.85,3040.0,175.78,1557.0,112.03,3010.0,240.71,1677.0,144.82,61.93,6050.0,3234.0,20.56,9284,2816.0,-78.5,0.25,109.0,117.0,93.0,113.58
2025-06-03 08:51:00,111.78,2259.0,153.67,2063.0,110.06,2600.0,220.5,1862.0,132.72,41.89,4859.0,3925.0,12.99,8784,934.0,-8.0,0.06,107.8,117.0,103.0,112.13
2025-06-03 08:52:00,108.81,2961.0,152.03,1723.0,102.77,4446.0,207.09,1508.0,130.42,43.21,7407.0,3231.0,19.03,10638,4176.0,190.5,0.34,107.0,115.0,113.0,109.99
2025-06-03 08:53:00,105.64,1648.0,207.61,1637.0,92.96,1553.0,285.8,1806.0,156.62,101.97,3201.0,3443.0,31.45,6644,-242.0,-68.0,-0.06,98.2,116.71,81.0,109.39
