DateTime_Minute,Bid1_Price,Bid1_Volume,Ask1_Price,Ask1_Volume,Bid2_Price,Bid2_Volume,Ask2_Price,Ask2_Volume,Mid-Price,Bid_Ask_Spread,Market_Depth_Bid,Market_Depth_Ask,Historical_Volatility,Total_volume,Cumulative_Volume_Difference,Total_Volume_Change_Corrected,Order_imbalance,Weighted_Avg_Price,Weighted_Avg_Price,Trade_Volume,Trade_Price_Mean
2025-03-13 07:30:00,191.3,2209.0,202.48,2184.0,188.43,3218.0,204.88,2364.0,196.89,11.18,5427.0,4548.0,13.42,9975,879.0,198.0,0.05,186.75,196.0,66.0,191.64
2025-03-13 07:31:00,193.57,3466.0,196.88,2015.0,191.46,2925.0,199.24,2248.0,195.23,3.31,6391.0,4263.0,0.92,10654,2128.0,-2.0,0.15,189.67,196.0,86.0,193.84
2025-03-13 07:32:00,191.15,2374.0,196.42,2583.0,188.69,4078.0,229.42,2929.0,193.79,5.27,6452.0,5512.0,1.05,11964,940.0,117.0,0.04,186.5,197.62,118.0,191.95
2025-03-13 07:33:00,191.65,2430.0,195.03,1878.0,189.57,2096.0,198.68,2345.0,193.34,3.38,4526.0,4223.0,1.0,8749,303.0,-109.0,0.0,188.25,195.0,90.0,192.34
2025-03-13 07:34:00,192.77,3684.0,196.5,2313.0,191.38,4321.0,198.57,2211.0,194.64,3.74,8005.0,4524.0,0.62,12529,3481.0,-122.0,0.21,190.0,195.0,68.0,193.25
2025-03-13 07:35:00,190.75,2217.0,194.45,2378.0,188.74,2036.0,201.16,2269.0,192.6,3.7,4253.0,4647.0,0.88,8900,-394.0,-3.0,-0.09,188.0,196.0,93.0,191.81
2025-03-13 07:36:00,189.36,2028.0,229.68,1684.0,186.72,1490.0,269.3,1863.0,209.52,40.32,3518.0,3547.0,10.63,7065,-29.0,-65.0,-0.02,184.0,195.0,96.0,190.63
2025-03-13 07:37:00,192.21,2137.0,242.78,1600.0,187.82,1964.0,313.59,1904.0,217.49,50.57,4101.0,3504.0,19.21,7605,597.0,-36.0,-0.01,188.56,195.0,104.0,192.38
2025-03-13 07:38:00,190.49,3982.0,242.81,1587.0,179.13,2337.0,285.32,1617.0,216.65,52.32,6319.0,3204.0,13.4,9523,3115.0,-66.0,0.26,187.0,194.0,107.0,191.2
2025-03-13 07:39:00,192.83,3014.0,241.96,1659.0,190.78,2210.0,290.99,1766.0,217.39,49.13,5224.0,3425.0,16.5,8649,1799.0,47.0,0.13,190.0,195.0,125.0,192.8
2025-03-13 07:40:00,179.89,2658.0,209.37,2209.0,163.63,2700.0,239.5,2432.0,194.63,29.48,5358.0,4641.0,15.48,9999,717.0,277.0,0.02,178.2,195.0,113.0,187.63
2025-03-13 07:41:00,189.9,2576.0,259.05,1459.0,182.6,3606.0,309.78,1500.0,224.47,69.14,6182.0,2959.0,20.81,9141,3223.0,-159.0,0.32,181.14,195.0,92.0,190.76
2025-03-13 07:42:00,186.08,3233.0,228.48,1564.0,174.69,2890.0,289.59,1266.0,207.28,42.4,6123.0,2830.0,18.48,8953,3293.0,-219.0,0.31,182.67,195.0,106.0,189.95
2025-03-13 07:43:00,193.47,4440.0,241.82,1965.0,191.78,1875.0,365.56,1846.0,217.64,48.35,6315.0,3811.0,17.21,10126,2504.0,-97.0,0.17,190.0,195.0,112.0,193.44
2025-03-13 07:44:00,191.68,3059.0,239.17,1594.0,186.58,3384.0,349.98,1518.0,215.42,47.49,6443.0,3112.0,12.73,9555,3331.0,-46.0,0.31,188.4,198.0,107.0,193.51
2025-03-13 07:45:00,190.06,2661.0,252.13,1887.0,181.14,3608.0,290.52,1867.0,221.09,62.07,6269.0,3754.0,14.04,10023,2515.0,26.0,0.19,188.0,195.0,104.0,192.76
2025-03-13 07:46:00,190.54,2915.0,273.47,1522.0,186.85,3228.0,361.64,1522.0,232.0,82.93,6143.0,3044.0,24.21,9187,3099.0,36.0,0.19,188.5,195.0,93.0,193.04
2025-03-13 07:47:00,191.44,1979.0,247.55,1981.0,185.18,2368.0,340.56,2199.0,219.5,56.11,4347.0,4180.0,11.73,8527,167.0,9.0,-0.02,188.0,195.0,121.0,192.23
2025-03-13 07:48:00,186.61,3041.0,232.41,1617.0,169.0,4535.0,304.25,1856.0,209.51,45.8,7576.0,3473.0,17.4,11049,4103.0,33.0,0.28,181.0,195.0,110.0,190.7
2025-03-13 07:49:00,184.65,2342.0,211.7,1576.0,172.88,1775.0,273.39,1639.0,198.17,27.05,4117.0,3215.0,10.28,7332,902.0,-139.0,0.1,180.86,197.0,119.0,189.71
2025-03-13 07:50:00,189.23,3635.0,252.24,2035.0,186.49,2230.0,320.36,2020.0,220.74,63.01,5865.0,4055.0,20.69,9920,1810.0,40.0,0.14,181.0,194.0,90.0,189.95
2025-03-13 07:51:00,190.34,2406.0,215.73,1420.0,184.96,2899.0,278.7,1718.0,203.03,25.39,5305.0,3138.0,14.4,8443,2167.0,130.0,0.24,181.75,195.0,110.0,190.64
2025-03-13 07:52:00,191.15,3534.0,253.78,2197.0,189.48,3387.0,329.05,2174.0,222.46,62.63,6921.0,4371.0,25.23,11292,2550.0,-64.0,0.2,188.25,194.0,111.0,191.18
2025-03-13 07:53:00,190.99,2359.0,227.44,1372.0,186.4,1872.0,280.81,1545.0,209.21,36.45,4231.0,2917.0,11.64,7148,1314.0,-68.0,0.14,180.0,194.0,90.0,191.12
2025-03-13 07:54:00,189.12,4238.0,256.37,1702.0,187.63,2475.0,315.33,1787.0,222.75,67.24,6713.0,3489.0,17.02,10202,3224.0,172.0,0.27,181.44,196.0,119.0,190.42
2025-03-13 07:55:00,191.22,2899.0,241.62,2022.0,188.03,2446.0,314.49,2070.0,216.42,50.4,5345.0,4092.0,16.47,9437,1253.0,25.0,0.09,188.0,194.0,102.0,191.67
2025-03-13 07:56:00,186.9,2070.0,243.18,1218.0,180.26,2119.0,331.52,1410.0,215.04,56.28,4189.0,2628.0,27.31,6817,1561.0,-72.0,0.21,181.5,194.0,93.0,189.04
2025-03-13 07:57:00,190.03,4745.0,231.27,1846.0,183.86,3672.0,302.38,2083.0,210.65,41.25,8417.0,3929.0,21.4,12346,4488.0,-273.0,0.26,186.0,194.0,126.0,190.38
2025-03-13 07:58:00,191.67,2728.0,245.66,1812.0,190.06,2810.0,309.62,1561.0,218.67,53.99,5538.0,3373.0,12.12,8911,2165.0,215.0,0.19,187.0,194.0,93.0,191.58
2025-03-13 07:59:00,189.53,3679.0,245.11,1951.0,183.0,4667.0,270.32,1943.0,217.32,55.58,8346.0,3894.0,13.95,12240,4452.0,-253.0,0.26,182.4,194.0,103.0,190.51
2025-03-13 08:00:00,191.39,3198.0,252.16,2325.0,188.11,2974.0,304.17,2158.0,221.78,60.77,6172.0,4483.0,21.34,10655,1689.0,-130.0,0.09,187.0,194.0,132.0,191.35
2025-03-13 08:01:00,190.01,3272.0,218.45,1603.0,180.26,2222.0,281.29,1478.0,204.23,28.43,5494.0,3081.0,20.99,8575,2413.0,-215.0,0.22,186.0,194.0,105.0,190.97
2025-03-13 08:02:00,188.99,1868.0,263.82,1629.0,180.11,2187.0,337.34,1752.0,226.41,74.84,4055.0,3381.0,27.37,7436,674.0,-64.0,0.06,180.86,192.75,106.0,189.72
2025-03-13 08:03:00,186.34,3469.0,246.69,1464.0,179.18,2790.0,316.0,1453.0,216.52,60.35,6259.0,2917.0,15.59,9176,3342.0,-38.0,0.27,182.8,193.0,96.0,189.75
2025-03-13 08:04:00,191.48,3668.0,254.04,1744.0,189.91,3651.0,295.52,1695.0,222.76,62.56,7319.0,3439.0,9.27,10758,3880.0,-1.0,0.31,188.0,195.0,95.0,191.56
2025-03-13 08:05:00,192.08,3281.0,224.68,1424.0,190.72,4702.0,272.07,1644.0,208.38,32.6,7983.0,3068.0,7.64,11051,4915.0,-157.0,0.4,189.0,195.0,103.0,192.07
2025-03-13 08:06:00,191.27,3093.0,239.91,1706.0,189.4,2784.0,269.52,1689.0,215.59,48.64,5877.0,3395.0,13.82,9272,2482.0,12.0,0.23,189.0,195.0,98.0,191.56
2025-03-13 08:07:00,192.87,3593.0,237.54,1806.0,191.14,3112.0,264.38,1843.0,215.21,44.67,6705.0,3649.0,11.3,10354,3056.0,41.0,0.25,190.0,197.0,91.0,193.12
2025-03-13 08:08:00,191.99,2412.0,257.97,1532.0,188.8,2053.0,343.32,1784.0,224.98,65.97,4465.0,3316.0,24.78,7781,1149.0,202.0,0.1,188.0,195.0,110.0,192.0
2025-03-13 08:09:00,191.38,2275.0,236.25,1494.0,187.34,1904.0,286.08,1490.0,213.81,44.87,4179.0,2984.0,5.63,7163,1195.0,-125.0,0.14,188.25,195.0,100.0,191.89
2025-03-13 08:10:00,188.84,2822.0,230.75,1748.0,181.34,1894.0,274.45,1806.0,209.8,41.91,4716.0,3554.0,22.54,8270,1162.0,86.0,0.09,183.0,195.0,113.0,191.27
2025-03-13 08:11:00,187.48,1445.0,253.84,1343.0,185.4,2279.0,322.13,1292.0,220.66,66.35,3724.0,2635.0,22.93,6359,1089.0,2.0,0.13,180.67,194.0,82.0,189.27
2025-03-13 08:12:00,188.55,2891.0,242.74,1647.0,183.98,2536.0,325.89,1474.0,215.65,54.19,5427.0,3121.0,23.88,8548,2306.0,-28.0,0.23,180.0,195.0,117.0,189.66
2025-03-13 08:13:00,181.66,1178.0,230.16,1152.0,163.59,1302.0,278.82,1245.0,205.91,48.5,2480.0,2397.0,20.65,4877,83.0,-90.0,-0.02,181.0,195.0,72.0,188.66
2025-03-13 08:14:00,188.93,2223.0,245.96,1197.0,186.13,2352.0,304.42,1216.0,217.44,57.03,4575.0,2413.0,22.43,6988,2162.0,180.0,0.26,184.0,195.0,77.0,190.57
2025-03-13 08:15:00,183.23,2909.0,224.91,1631.0,171.5,3213.0,318.28,1462.0,204.07,41.68,6122.0,3093.0,12.48,9215,3029.0,-75.0,0.26,177.4,194.71,147.0,189.95
2025-03-13 08:16:00,191.97,3407.0,269.72,1861.0,189.43,3596.0,343.02,1803.0,230.85,77.76,7003.0,3664.0,18.14,10667,3339.0,-217.0,0.29,188.78,195.0,135.0,192.34
2025-03-13 08:17:00,191.58,3881.0,239.8,1987.0,189.85,4059.0,348.13,1912.0,215.69,48.23,7940.0,3899.0,19.81,11839,4041.0,167.0,0.3,188.78,195.71,121.0,192.07
