DateTime_Minute,Bid1_Price,Bid1_Volume,Ask1_Price,Ask1_Volume,Bid2_Price,Bid2_Volume,Ask2_Price,Ask2_Volume,Mid-Price,Bid_Ask_Spread,Market_Depth_Bid,Market_Depth_Ask,Historical_Volatility,Total_volume,Cumulative_Volume_Difference,Total_Volume_Change_Corrected,Order_imbalance,Weighted_Avg_Price,Weighted_Avg_Price,Trade_Volume,Trade_Price_Mean
2025-05-14 07:30:00,158.42,371.0,163.94,424.0,156.62,387.0,166.13,395.0,161.18,5.52,758.0,819.0,1.22,1577,-61.0,-168.0,-0.06,158.0,162.0,34.0,159.72
2025-05-14 07:31:00,158.4,2706.0,161.47,1329.0,155.72,2111.0,182.0,1538.0,159.94,3.07,4817.0,2867.0,1.15,7684,1950.0,-515.0,0.2,154.0,162.4,62.0,158.86
2025-05-14 07:32:00,159.5,1732.0,163.96,1042.0,157.9,1292.0,166.15,1713.0,161.73,4.46,3024.0,2755.0,0.47,5779,269.0,357.0,0.06,155.83,163.0,29.0,160.17
2025-05-14 07:33:00,158.04,1677.0,161.37,1038.0,156.14,1625.0,163.32,1309.0,159.71,3.32,3302.0,2347.0,0.86,5649,955.0,-12.0,0.08,155.0,163.0,42.0,158.74
2025-05-14 07:34:00,156.36,1493.0,194.91,1086.0,151.91,1118.0,230.07,1166.0,175.64,38.55,2611.0,2252.0,22.48,4863,359.0,203.0,0.02,154.4,161.8,88.0,158.74
2025-05-14 07:35:00,156.78,1777.0,164.71,1488.0,152.87,2764.0,206.46,1727.0,160.74,7.94,4541.0,3215.0,2.33,7756,1326.0,195.0,0.17,155.25,162.33,72.0,158.8
2025-05-14 07:36:00,153.56,1488.0,168.18,1302.0,150.56,1966.0,194.78,1356.0,160.87,14.62,3454.0,2658.0,3.81,6112,796.0,-3.0,0.14,152.0,161.71,74.0,157.06
2025-05-14 07:37:00,154.68,1736.0,197.41,954.0,151.48,2222.0,273.86,834.0,176.04,42.73,3958.0,1788.0,31.35,5746,2170.0,153.0,0.34,152.0,161.0,90.0,157.01
2025-05-14 07:38:00,152.86,966.0,198.73,676.0,140.98,1450.0,302.52,664.0,175.8,45.87,2416.0,1340.0,22.1,3756,1076.0,11.0,0.21,149.5,161.0,45.0,155.54
2025-05-14 07:39:00,157.71,1247.0,196.68,774.0,156.04,1253.0,281.8,901.0,177.2,38.97,2500.0,1675.0,17.37,4175,825.0,-28.0,0.08,156.0,161.33,55.0,159.03
