DateTime_Minute,Bid1_Price,Bid1_Volume,Ask1_Price,Ask1_Volume,Bid2_Price,Bid2_Volume,Ask2_Price,Ask2_Volume,Mid-Price,Bid_Ask_Spread,Market_Depth_Bid,Market_Depth_Ask,Historical_Volatility,Total_volume,Cumulative_Volume_Difference,Total_Volume_Change_Corrected,Order_imbalance,Weighted_Avg_Price,Weighted_Avg_Price,Trade_Volume,Trade_Price_Mean
2025-04-11 07:30:00,138.4,1424.0,171.38,1260.0,131.83,1220.0,217.66,1044.0,154.89,32.98,2644.0,2304.0,21.52,4948,340.0,3.0,0.08,138.0,147.0,47.0,141.58
2025-04-11 07:31:00,136.17,175.0,188.05,146.0,116.63,99.0,347.5,217.0,162.11,51.88,274.0,363.0,15.48,637,-89.0,85.0,-0.17,132.0,134.6,20.0,133.01
2025-04-11 07:32:00,143.08,2643.0,228.54,1996.0,139.79,3088.0,304.42,2114.0,185.81,85.46,5731.0,4110.0,24.83,9841,1621.0,200.0,0.1,132.0,148.0,96.0,143.32
2025-04-11 07:33:00,141.84,2409.0,185.41,1903.0,135.69,3010.0,246.96,2097.0,163.63,43.57,5419.0,4000.0,14.56,9419,1419.0,107.0,0.11,135.0,148.0,123.0,142.48
2025-04-11 07:34:00,142.93,3298.0,204.04,2414.0,140.23,3237.0,274.87,2328.0,173.49,61.12,6535.0,4742.0,21.61,11277,1793.0,-122.0,0.15,138.0,148.0,94.0,142.76
2025-04-11 07:35:00,142.93,2470.0,207.25,1525.0,139.97,2765.0,263.53,1515.0,175.09,64.32,5235.0,3040.0,27.77,8275,2195.0,-9.5,0.24,133.5,146.67,106.0,143.0
2025-04-11 07:36:00,142.58,1264.0,219.12,1206.0,140.03,1654.0,276.87,1328.0,180.85,76.54,2918.0,2534.0,23.46,5452,384.0,-94.0,0.07,132.25,147.0,64.0,142.15
2025-04-11 07:37:00,143.49,1913.0,174.53,2094.0,139.44,2073.0,209.5,2214.0,159.01,31.04,3986.0,4308.0,7.32,8294,-322.0,-3.0,-0.08,138.73,147.0,111.0,143.11
2025-04-11 07:38:00,140.51,2349.0,200.47,1384.0,133.04,2241.0,228.07,1375.0,170.49,59.96,4590.0,2759.0,17.54,7349,1831.0,112.0,0.22,132.0,145.83,92.0,141.44
2025-04-11 07:39:00,142.62,3341.0,185.36,2357.0,140.14,2838.0,257.79,2457.0,163.99,42.74,6179.0,4814.0,15.05,10993,1365.0,-161.0,0.09,136.0,147.0,119.0,142.28
2025-04-11 07:40:00,142.74,2574.0,179.4,1897.0,140.24,3265.0,224.81,2010.0,161.07,36.66,5839.0,3907.0,13.14,9746,1932.0,152.0,0.14,139.0,147.0,89.0,143.02
2025-04-11 07:41:00,143.69,4457.0,191.89,1759.0,141.76,3265.0,259.17,1727.0,167.79,48.2,7722.0,3486.0,21.54,11208,4236.0,115.5,0.37,138.0,147.0,112.0,143.78
2025-04-11 07:42:00,140.69,1396.0,178.03,834.0,132.79,1572.0,236.2,902.0,159.36,37.34,2968.0,1736.0,13.44,4704,1232.0,-38.0,0.24,134.0,146.33,57.0,141.46
2025-04-11 07:43:00,141.94,2203.0,189.31,1977.0,136.28,1649.0,251.98,2218.0,165.63,47.37,3852.0,4195.0,14.9,8047,-343.0,-93.0,-0.07,133.8,147.0,116.0,142.02
2025-04-11 07:44:00,142.53,1638.0,185.88,1584.0,138.91,2664.0,230.93,1479.0,164.2,43.36,4302.0,3063.0,14.92,7365,1239.0,2.0,0.13,133.0,146.0,82.0,142.13
2025-04-11 07:45:00,141.4,3005.0,188.14,2560.0,136.94,2693.0,247.05,2375.0,164.77,46.74,5698.0,4935.0,16.16,10633,763.0,-2.0,0.05,130.0,147.0,125.0,141.54
2025-04-11 07:46:00,143.22,3317.0,198.0,2162.0,141.77,4633.0,263.63,2177.0,170.61,54.78,7950.0,4339.0,24.61,12289,3611.0,-260.5,0.23,139.0,148.0,107.0,143.54
2025-04-11 07:47:00,144.83,3065.0,213.2,1519.0,142.67,3120.0,288.92,1476.0,179.02,68.37,6185.0,2995.0,18.86,9180,3190.0,42.0,0.29,140.0,148.0,99.0,144.58
2025-04-11 07:48:00,141.39,2870.0,210.69,1836.0,137.39,2126.0,271.75,1831.0,176.04,69.3,4996.0,3667.0,27.72,8663,1329.0,35.5,0.09,138.0,148.0,117.0,142.12
2025-04-11 07:49:00,142.05,1768.0,184.75,1249.0,134.42,1280.0,280.21,1357.0,163.4,42.7,3048.0,2606.0,14.35,5654,442.0,-216.0,0.05,135.78,147.8,98.0,142.51
2025-04-11 07:50:00,142.61,1577.0,202.2,1176.0,138.54,1842.0,281.94,1231.0,172.4,59.59,3419.0,2407.0,22.88,5826,1012.0,121.5,0.15,136.25,148.0,92.0,142.29
2025-04-11 07:51:00,142.16,2627.0,240.97,2370.0,136.34,2012.0,294.82,2615.0,191.56,98.81,4639.0,4985.0,18.16,9624,-346.0,-126.5,-0.09,135.6,148.0,104.0,141.96
2025-04-11 07:52:00,143.56,2039.0,199.59,1418.0,139.36,1948.0,282.27,1505.0,171.58,56.04,3987.0,2923.0,24.66,6910,1064.0,125.0,0.09,136.0,147.8,82.0,143.46
2025-04-11 07:53:00,142.57,2565.0,191.09,1472.0,137.8,1964.0,231.09,1563.0,166.83,48.51,4529.0,3035.0,17.07,7564,1494.0,9.0,0.17,137.0,146.0,94.0,142.83
2025-04-11 07:54:00,142.41,1963.0,178.09,1448.0,138.71,2420.0,236.65,1752.0,160.25,35.67,4383.0,3200.0,11.05,7583,1183.0,-144.0,0.08,131.0,148.0,96.0,142.96
2025-04-11 07:55:00,142.26,1877.0,224.2,1528.0,133.88,1831.0,301.0,1601.0,183.23,81.93,3708.0,3129.0,30.35,6837,579.0,-116.5,0.1,130.0,147.33,100.0,142.49
2025-04-11 07:56:00,142.21,2471.0,190.32,2137.0,139.13,2656.0,252.55,2116.0,166.27,48.11,5127.0,4253.0,19.68,9380,874.0,-15.5,0.02,138.0,147.4,83.0,142.69
2025-04-11 07:57:00,143.22,2263.0,186.56,1560.0,140.77,2088.0,253.62,1359.0,164.89,43.34,4351.0,2919.0,15.83,7270,1432.0,134.0,0.15,139.0,148.0,79.0,143.79
2025-04-11 07:58:00,142.24,2520.0,182.32,1959.0,137.1,3196.0,212.82,2014.0,162.28,40.08,5716.0,3973.0,15.24,9689,1743.0,-72.0,0.17,134.67,148.0,124.0,142.82
2025-04-11 07:59:00,143.27,2798.0,216.96,1672.0,137.3,2241.0,287.55,1603.0,180.12,73.68,5039.0,3275.0,21.19,8314,1764.0,-87.0,0.15,135.0,148.0,112.0,142.78
2025-04-11 08:00:00,142.17,1928.0,198.33,1463.0,131.51,2535.0,271.55,1529.0,170.25,56.16,4463.0,2992.0,18.72,7455,1471.0,8.5,0.17,135.0,148.0,99.0,143.49
2025-04-11 08:01:00,144.68,2832.0,186.73,1596.0,140.9,1923.0,232.83,1724.0,165.7,42.04,4755.0,3320.0,10.45,8075,1435.0,-116.5,0.1,138.8,148.0,95.0,144.46
2025-04-11 08:02:00,142.99,3253.0,198.79,1844.0,140.94,3116.0,268.48,1942.0,170.89,55.79,6369.0,3786.0,24.2,10155,2583.0,114.0,0.2,138.0,148.0,87.0,143.24
2025-04-11 08:03:00,143.54,2614.0,185.59,2063.0,141.65,2533.0,240.12,1949.0,164.57,42.05,5147.0,4012.0,15.85,9159,1135.0,156.5,0.07,140.5,147.25,102.0,143.78
2025-04-11 08:04:00,142.44,2229.0,210.83,1630.0,137.77,2462.0,298.95,1666.0,176.64,68.39,4691.0,3296.0,17.83,7987,1395.0,-168.0,0.16,135.08,148.0,112.0,142.81
2025-04-11 08:05:00,142.77,2596.0,208.16,1336.0,140.04,3409.0,308.35,1765.0,175.47,65.39,6005.0,3101.0,15.51,9106,2904.0,-132.0,0.24,138.0,148.0,95.0,143.82
2025-04-11 08:06:00,142.02,3821.0,218.4,1831.0,138.37,5039.0,281.99,1646.0,180.21,76.38,8860.0,3477.0,19.72,12337,5383.0,115.5,0.38,138.0,147.0,100.0,142.81
2025-04-11 08:07:00,143.57,2050.0,200.97,2091.0,141.41,2916.0,237.4,2081.0,172.27,57.4,4966.0,4172.0,15.44,9138,794.0,40.0,0.06,138.75,148.0,89.0,143.5
2025-04-11 08:08:00,143.64,3040.0,178.07,2112.0,141.32,3059.0,213.53,2062.0,160.86,34.43,6099.0,4174.0,9.81,10273,1925.0,62.5,0.15,138.0,148.0,90.0,143.58
2025-04-11 08:09:00,141.15,2410.0,166.69,1981.0,131.64,2779.0,208.39,1848.0,153.92,25.54,5189.0,3829.0,9.42,9018,1360.0,-68.0,0.09,137.0,148.0,113.0,143.19
2025-04-11 08:10:00,141.33,2202.0,207.9,1627.0,131.19,2438.0,257.14,1795.0,174.62,66.58,4640.0,3422.0,22.57,8062,1218.0,-95.0,0.13,136.0,148.0,100.0,141.79
2025-04-11 08:11:00,139.86,966.0,190.1,1094.0,130.26,1178.0,232.06,1153.0,164.98,50.24,2144.0,2247.0,16.4,4391,-103.0,-29.5,-0.04,130.5,148.0,62.0,140.19
2025-04-11 08:12:00,141.41,1847.0,196.27,1778.0,137.54,2148.0,257.93,1671.0,168.84,54.86,3995.0,3449.0,17.99,7444,546.0,-18.0,0.06,133.5,148.0,110.0,141.94
