,ARIMA Forecast Average Mid-Price,Actual Mid-Price,ARIMA Forecast Average Bid-Ask Spread,Actual Bid-Ask Spread,RSI,True Trading Signals,ARIMA Trading Signal
6314,142.80907412874456,142.77,78.81514909021732,65.9,142.77,Hold,Hold
6315,139.7458809762155,132.52,62.094733618504016,44.34,132.52,Buy,Hold
6316,136.1589567752638,133.09,56.980321032560155,46.46,133.09,Hold,Hold
6317,132.28692761713026,133.87,53.51402663589918,47.05,133.87,Hold,Hold
6318,136.27788554476652,131.55,53.36632886211491,45.32,131.55,Hold,Hold
6319,136.32807774959048,131.58,49.13996383916599,44.3,131.58,Hold,Hold
6320,139.84098405262688,156.25,59.29849896545856,92.56,156.25,Sell,Hold
6321,138.37299546693248,136.57,57.37103832325681,53.7,136.57,Hold,Hold
6322,143.36418560484657,126.74,57.23188887340571,34.13,126.74,Buy,Hold
6323,139.53058906447149,147.17,59.71317869662438,76.38,147.17,Sell,Hold
6324,137.57910961656583,138.35,59.80839782913675,58.14,138.35,Hold,Hold
6325,138.66149426915695,133.67,59.51695593017047,47.51,133.67,Buy,Hold
6326,138.1628731162223,138.8,59.412255466371946,58.54,138.8,Hold,Hold
6327,137.8120104946504,137.59,59.24500856102166,57.18,137.59,Hold,Hold
6328,137.6054439050994,133.37,58.4191747207602,49.28,133.37,Hold,Hold
6329,137.61172898624372,141.11,56.66540048769589,60.87,141.11,Hold,Hold
6330,137.61921711261837,136.25,56.02815811420125,51.12,136.25,Hold,Hold
6331,138.40829810701115,130.4,55.77157749643013,39.63,130.4,Hold,Hold
6332,139.1570297038611,130.23,54.310063408409746,40.66,130.23,Hold,Hold
6333,135.1759222834507,166.36,57.733660857186905,111.12,166.36,Sell,Hold
6334,135.61630066092448,135.56,54.75977416070718,56.54,135.56,Buy,Hold
6335,136.7133624560548,140.75,57.09519380185664,65.34,140.75,Hold,Hold
6336,137.09875021202092,132.52,56.89926443293249,44.22,132.52,Hold,Hold
6337,138.05394120504604,134.33,56.86205972102162,47.44,134.33,Hold,Hold
6338,137.7258901432483,145.59,57.62896383543978,70.99,145.59,Sell,Hold
6339,137.2971569045606,150.09,59.93021721742709,80.94,150.09,Hold,Hold
6340,142.39288494445566,136.04,58.68408201749992,54.64,136.04,Hold,Hold
6341,142.73542572607175,138.32,57.24805177085236,56.49,138.32,Hold,Hold
6342,139.38838765051173,129.18,59.05271217689111,38.88,129.18,Buy,Hold
6343,137.86758884298214,130.18,56.40100276659338,41.67,130.18,Hold,Hold
6344,138.92120196059082,148.4,57.29307670345999,74.78,148.4,Sell,Hold
6345,138.7395213164473,133.27,57.40931279262221,46.15,133.27,Buy,Hold
6346,139.15338782685163,145.83,57.72487739325245,71.68,145.83,Sell,Hold
