,ARIMA Forecast Average Mid-Price,Actual Mid-Price,ARIMA Forecast Average Bid-Ask Spread,Actual Bid-Ask Spread,ARIMA Trading Signal,True Trading Signals,Correct Prediction
19,140.5465448393618,146.31,53.938727095111155,64.35,Hold,Hold,True
20,140.39237192871587,137.68,55.02535219843365,48.74,Buy,Buy,True
21,140.51044388649618,138.37,53.86286454802248,50.56,Buy,Hold,False
22,142.14952452189837,162.37,57.18943164641954,98.19,Buy,Sell,False
23,142.34095315423443,149.63,57.14019397261552,70.88,Buy,Hold,False
24,139.58969890040214,126.99,54.77018317605426,26.43,Sell,Buy,False
25,143.56723241827916,142.0,55.40262598832065,60.12,Hold,Hold,True
26,140.1088664604386,138.39,52.883898079146626,51.01,Buy,Hold,False
27,140.63462897241055,143.54,58.36746483987453,62.48,Hold,Hold,True
28,144.09558441073045,160.75,62.28805914499517,93.71,Hold,Sell,False
29,140.027159591273,141.36,58.7449815420317,62.59,Hold,Hold,True
30,145.91849037263063,146.15,62.51225105512667,66.16,Hold,Hold,True
31,144.8529584783348,144.03,57.848292712087115,58.95,Hold,Hold,True
32,146.37892345258143,141.11,60.07084199959608,53.36,Hold,Hold,True
33,146.00815596849185,133.05,56.286787379543,38.14,Sell,Buy,False
34,145.07406663417868,149.4,60.97566635039086,73.59,Buy,Sell,False
35,144.53619550252733,140.66,60.16610339783615,51.98,Hold,Hold,True
36,145.0604833907714,140.14,60.753354105242046,52.73,Buy,Hold,False
37,144.75062071803202,142.46,59.388932839001015,58.33,Buy,Hold,False
38,143.32858990858273,143.67,60.359251630980225,58.68,Buy,Hold,False
39,142.46163758772806,134.86,58.45682361692995,42.52,Sell,Buy,False
40,140.9221889010517,136.38,52.59481786472619,43.29,Buy,Hold,False
41,139.99798468764303,132.85,49.840752601474314,35.57,Sell,Hold,False
42,135.29142572876833,129.22,42.76634010491588,30.94,Hold,Hold,True
43,141.3084358576632,146.34,53.59741894032769,64.72,Hold,Hold,True
44,141.78463480235362,146.22,52.398489495655284,61.33,Buy,Hold,False
45,135.67632429185,130.71,46.95223386481897,31.93,Buy,Hold,False
46,153.70292738849736,169.02,75.17779968003819,106.23,Sell,Sell,True
47,151.50385551967375,139.17,71.49687061314472,51.58,Buy,Buy,True
48,141.41846598597263,137.73,54.70583808916289,48.62,Sell,Hold,False
49,141.3647970267701,135.03,54.274136770634094,41.98,Hold,Hold,True
50,140.46967542608,144.65,52.938850832444146,64.05,Hold,Sell,False
51,140.93575691724553,138.03,53.9505373184295,53.45,Buy,Hold,False
52,140.2598399431667,147.73,53.42828036834375,67.14,Sell,Hold,False
53,141.49271415318992,136.13,54.92599477812812,40.92,Buy,Buy,True
54,140.33738801346038,143.58,53.057481530620954,62.52,Sell,Sell,True
55,140.8781302487706,121.47,53.44193516040123,18.11,Hold,Buy,False
56,138.61113944508907,129.32,50.05040899330443,39.74,Buy,Hold,False
57,139.15411417209359,129.84,51.079177590388,31.22,Hold,Hold,True
58,139.414962641447,170.73,49.830187144497586,112.15,Sell,Sell,True
59,141.1212459160091,137.95,54.91555639591833,50.7,Hold,Buy,False
60,139.90521813475772,151.43,52.13325398336883,71.73,Hold,Hold,True
61,142.55294431854978,147.07,57.50818369576659,67.01,Buy,Hold,False
62,141.3538243745942,150.86,55.71022749524258,74.49,Hold,Sell,False
63,144.09707343983328,140.77,59.79743497545671,52.75,Buy,Buy,True
64,139.89049757137917,136.87,54.34928036404898,44.66,Sell,Hold,False
65,145.0233441958493,157.58,59.04392497320664,91.4,Buy,Sell,False
66,141.97717465803262,133.12,59.75535736359628,36.79,Hold,Buy,False
67,140.36883111043898,148.08,57.11199603908288,65.29,Sell,Sell,True
68,143.16321874766837,141.8,58.591993951608785,56.44,Buy,Buy,True
69,142.06921900544688,143.68,57.44341416967486,58.65,Hold,Hold,True
70,142.20444420082066,136.23,57.79013167001955,42.76,Buy,Hold,False
71,142.30704823014148,146.81,56.510738955253785,63.88,Sell,Hold,False
72,142.59548528506363,140.63,57.51510851151646,55.41,Hold,Hold,True
73,143.53597510797755,161.45,57.777528634389384,95.09,Hold,Sell,False
74,144.6103938506949,147.11,59.585456244415674,65.65,Hold,Hold,True
75,145.6573806687179,134.59,62.523404855769265,40.74,Buy,Buy,True
76,145.05995927406966,145.97,62.686651396671834,62.68,Sell,Hold,False
77,148.2938272323672,154.26,69.51168725319603,81.44,Buy,Sell,False
78,144.45137891037268,151.53,60.709317210743656,81.36,Sell,Hold,False
79,145.57330275829827,146.78,63.20779375551274,67.65,Buy,Hold,False
80,146.80897429739017,143.62,63.47357890536898,60.21,Buy,Hold,False
81,148.53552749440675,147.76,62.73520416545622,69.45,Hold,Hold,True
82,146.23032264268232,138.98,63.14293729330152,51.88,Hold,Buy,False
83,144.72185649778677,151.85,62.53674757114917,80.05,Sell,Sell,True
84,146.24764216094874,133.68,64.76639888218048,42.38,Buy,Buy,True
85,143.85347003444105,142.49,51.14483625825021,58.01,Sell,Sell,True
86,137.31456857827766,141.7,63.53749327767663,57.84,Buy,Hold,False
87,135.87354897054624,134.24,61.265252734378066,37.93,Buy,Buy,True
88,134.55599647001534,135.71,38.57464571819302,45.98,Sell,Hold,False
89,131.11079666861943,127.14,43.237003301401565,28.22,Buy,Hold,False
90,130.5023205888418,136.83,29.51046197234166,45.07,Buy,Hold,False
91,132.53658255947752,140.97,37.52662362059271,54.55,Buy,Hold,False
92,139.76932743839743,144.43,51.68617269281591,62.68,Sell,Hold,False
93,147.70924316708982,163.48,92.8886184289391,98.54,Buy,Sell,False
